,DefaultMode,Control,Limbic,SalVentAttn,DorsAttn,SomMot,Visual
count,19.0,19.0,19.0,19.0,19.0,19.0,19.0
mean,0.24187228083610535,0.35017573833465576,0.25869348645210266,0.2674008011817932,0.3302191197872162,0.2721225917339325,0.3083175718784332
std,0.06584790349006653,0.06335525214672089,0.08571746200323105,0.0849880501627922,0.07488679885864258,0.07649365067481995,0.09716072678565979
min,0.1401309370994568,0.22467172145843506,0.12938947975635529,0.112157441675663,0.20471853017807007,0.140524223446846,0.1479867398738861
25%,0.2050900086760521,0.32337749004364014,0.191485695540905,0.22286585718393326,0.2831851989030838,0.22477081418037415,0.22815828025341034
50%,0.24000315368175507,0.34233781695365906,0.2699914574623108,0.268253356218338,0.3199343681335449,0.2839386463165283,0.3097296953201294
75%,0.27568377554416656,0.38183753192424774,0.3145851641893387,0.31801003217697144,0.3620113879442215,0.33009541034698486,0.37406858801841736
max,0.38743099570274353,0.5034776926040649,0.4251512289047241,0.44874054193496704,0.5216605067253113,0.3812049627304077,0.47776874899864197
