subject,seed_roi,seed_hemisphere,target_roi,target_hemisphere,task,analysis,mean_activation
sub-spaceloc1008,aIPS,right,LO,left,ToolLoc,ppi,-0.002314947890749493
sub-spaceloc1008,aIPS,right,LO,right,ToolLoc,ppi,-0.010687435498178943
sub-spaceloc1009,pIPS,left,LO,left,ToolLoc,ppi,-0.005513842111230881
sub-spaceloc1009,pIPS,left,LO,right,ToolLoc,ppi,-0.0017842162209799305
sub-spaceloc1009,pIPS,right,LO,left,ToolLoc,ppi,0.0091309588658175
sub-spaceloc1009,pIPS,right,LO,right,ToolLoc,ppi,0.012719316834063838
sub-spaceloc1009,aIPS,left,LO,left,ToolLoc,ppi,-0.013964871669013782
sub-spaceloc1009,aIPS,left,LO,right,ToolLoc,ppi,-0.00814866906836331
sub-spaceloc1009,aIPS,right,LO,left,ToolLoc,ppi,0.0031944880039167537
sub-spaceloc1009,aIPS,right,LO,right,ToolLoc,ppi,0.0005646941080541079
sub-spaceloc1010,pIPS,left,LO,left,ToolLoc,ppi,0.006880161530276506
sub-spaceloc1010,pIPS,left,LO,right,ToolLoc,ppi,0.008154177396032898
sub-spaceloc1010,pIPS,right,LO,left,ToolLoc,ppi,0.010229188019935368
sub-spaceloc1010,pIPS,right,LO,right,ToolLoc,ppi,0.011550549436946797
sub-spaceloc1010,aIPS,left,LO,left,ToolLoc,ppi,-0.014542340965626207
sub-spaceloc1010,aIPS,left,LO,right,ToolLoc,ppi,-0.01394573598411751
sub-spaceloc1010,aIPS,right,LO,left,ToolLoc,ppi,-0.025328780395033952
sub-spaceloc1010,aIPS,right,LO,right,ToolLoc,ppi,-0.022895171532385575
sub-spaceloc1011,pIPS,left,LO,left,ToolLoc,ppi,0.00207874200137265
sub-spaceloc1011,pIPS,left,LO,right,ToolLoc,ppi,0.008855872449204296
sub-spaceloc1011,pIPS,right,LO,left,ToolLoc,ppi,-5.878871359363487e-05
sub-spaceloc1011,pIPS,right,LO,right,ToolLoc,ppi,-0.0013372889533130445
sub-spaceloc1011,aIPS,left,LO,left,ToolLoc,ppi,-0.001136882487006658
sub-spaceloc1011,aIPS,left,LO,right,ToolLoc,ppi,0.005565656422740388
sub-spaceloc1011,aIPS,right,LO,left,ToolLoc,ppi,0.004689851146782392
sub-spaceloc1011,aIPS,right,LO,right,ToolLoc,ppi,0.011486564907907382
sub-spaceloc1012,pIPS,left,LO,left,ToolLoc,ppi,0.00273146998746451
sub-spaceloc1012,pIPS,left,LO,right,ToolLoc,ppi,0.007586001096235447
sub-spaceloc1012,pIPS,right,LO,left,ToolLoc,ppi,0.009664135930208153
sub-spaceloc1012,pIPS,right,LO,right,ToolLoc,ppi,0.007359081582963481
sub-spaceloc1012,aIPS,left,LO,left,ToolLoc,ppi,0.007601243383252312
sub-spaceloc1012,aIPS,left,LO,right,ToolLoc,ppi,0.008197553015013733
sub-spaceloc1012,aIPS,right,LO,left,ToolLoc,ppi,-0.0072514715933266706
sub-spaceloc1012,aIPS,right,LO,right,ToolLoc,ppi,-0.01122716827770516
sub-spaceloc2013,pIPS,left,LO,left,ToolLoc,ppi,0.00691011559607217
sub-spaceloc2013,pIPS,left,LO,right,ToolLoc,ppi,0.002974593263617884
sub-spaceloc2013,pIPS,right,LO,left,ToolLoc,ppi,0.008168536543488649
sub-spaceloc2013,pIPS,right,LO,right,ToolLoc,ppi,0.009043157631363282
sub-spaceloc2013,aIPS,left,LO,left,ToolLoc,ppi,0.014832346608444605
sub-spaceloc2013,aIPS,left,LO,right,ToolLoc,ppi,0.010188407945985837
sub-spaceloc2013,aIPS,right,LO,left,ToolLoc,ppi,0.002257377103689601
sub-spaceloc2013,aIPS,right,LO,right,ToolLoc,ppi,0.006546956259885429
sub-spaceloc2014,pIPS,left,LO,left,ToolLoc,ppi,0.009243431696883842
sub-spaceloc2014,pIPS,left,LO,right,ToolLoc,ppi,0.0026018122767973257
sub-spaceloc2014,pIPS,right,LO,left,ToolLoc,ppi,0.0009232238952873755
sub-spaceloc2014,pIPS,right,LO,right,ToolLoc,ppi,-0.006447042182323375
sub-spaceloc2014,aIPS,left,LO,left,ToolLoc,ppi,0.001780372975410356
sub-spaceloc2014,aIPS,left,LO,right,ToolLoc,ppi,-0.004087638999586933
sub-spaceloc2014,aIPS,right,LO,left,ToolLoc,ppi,0.006695266645553596
sub-spaceloc2014,aIPS,right,LO,right,ToolLoc,ppi,-0.0011104387919474044
sub-spaceloc2015,pIPS,left,LO,left,ToolLoc,ppi,0.0021129699179543242
sub-spaceloc2015,pIPS,left,LO,right,ToolLoc,ppi,0.0034743480631112193
sub-spaceloc2015,pIPS,right,LO,left,ToolLoc,ppi,0.004675718726482507
sub-spaceloc2015,pIPS,right,LO,right,ToolLoc,ppi,0.005479275525475559
sub-spaceloc2015,aIPS,left,LO,left,ToolLoc,ppi,-0.0060557745259559315
sub-spaceloc2015,aIPS,left,LO,right,ToolLoc,ppi,-0.004812258199097617
sub-spaceloc2015,aIPS,right,LO,left,ToolLoc,ppi,-0.01763228549389272
sub-spaceloc2015,aIPS,right,LO,right,ToolLoc,ppi,-0.007277055127202582
sub-spaceloc2016,pIPS,left,LO,left,ToolLoc,ppi,-0.004731269489756775
sub-spaceloc2016,pIPS,left,LO,right,ToolLoc,ppi,-0.00647705221983705
