subject,seed_roi,seed_hemisphere,target_roi,target_hemisphere,task,analysis,mean_activation
sub-spaceloc1008,aIPS,right,LO,left,ToolLoc,ppi,0.008572609145254506
sub-spaceloc1008,aIPS,right,LO,right,ToolLoc,ppi,-0.004904604274088342
sub-spaceloc1009,pIPS,left,LO,left,ToolLoc,ppi,0.007882679989591081
sub-spaceloc1009,pIPS,left,LO,right,ToolLoc,ppi,0.011591911949678967
sub-spaceloc1009,pIPS,right,LO,left,ToolLoc,ppi,0.0029511228645720555
sub-spaceloc1009,pIPS,right,LO,right,ToolLoc,ppi,0.010693266004793634
sub-spaceloc1009,aIPS,left,LO,left,ToolLoc,ppi,0.002384384891936659
sub-spaceloc1009,aIPS,left,LO,right,ToolLoc,ppi,0.007250626361226374
sub-spaceloc1009,aIPS,right,LO,left,ToolLoc,ppi,0.0171264585448996
sub-spaceloc1009,aIPS,right,LO,right,ToolLoc,ppi,0.005126204725707668
sub-spaceloc1010,pIPS,left,LO,left,ToolLoc,ppi,-0.0010963525013434456
sub-spaceloc1010,pIPS,left,LO,right,ToolLoc,ppi,-0.009135665035630933
sub-spaceloc1010,pIPS,right,LO,left,ToolLoc,ppi,0.007858766160145598
sub-spaceloc1010,pIPS,right,LO,right,ToolLoc,ppi,-0.0023723412247948416
sub-spaceloc1010,aIPS,left,LO,left,ToolLoc,ppi,0.0007806739682053918
sub-spaceloc1010,aIPS,left,LO,right,ToolLoc,ppi,-0.007538351321792496
sub-spaceloc1010,aIPS,right,LO,left,ToolLoc,ppi,0.0004502600444411336
sub-spaceloc1010,aIPS,right,LO,right,ToolLoc,ppi,-0.00756779366020055
sub-spaceloc1011,pIPS,left,LO,left,ToolLoc,ppi,-0.008595388375976808
sub-spaceloc1011,pIPS,left,LO,right,ToolLoc,ppi,-0.002819681860273704
sub-spaceloc1011,pIPS,right,LO,left,ToolLoc,ppi,0.006190702846619935
sub-spaceloc1011,pIPS,right,LO,right,ToolLoc,ppi,0.011700334955668567
sub-spaceloc1011,aIPS,left,LO,left,ToolLoc,ppi,-0.008896563652350642
sub-spaceloc1011,aIPS,left,LO,right,ToolLoc,ppi,-0.009002450606714231
sub-spaceloc1011,aIPS,right,LO,left,ToolLoc,ppi,-0.0026748827431944356
sub-spaceloc1011,aIPS,right,LO,right,ToolLoc,ppi,0.0005663782266262723
sub-spaceloc1012,pIPS,left,LO,left,ToolLoc,ppi,0.005732713254844457
sub-spaceloc1012,pIPS,left,LO,right,ToolLoc,ppi,0.012284184581569761
sub-spaceloc1012,pIPS,right,LO,left,ToolLoc,ppi,0.022193238254537624
sub-spaceloc1012,pIPS,right,LO,right,ToolLoc,ppi,0.005038448910320016
sub-spaceloc1012,aIPS,left,LO,left,ToolLoc,ppi,0.01071081950434327
sub-spaceloc1012,aIPS,left,LO,right,ToolLoc,ppi,0.011839036487609795
sub-spaceloc1012,aIPS,right,LO,left,ToolLoc,ppi,0.0038345918872968532
sub-spaceloc1012,aIPS,right,LO,right,ToolLoc,ppi,-0.005764010851777604
sub-spaceloc2013,pIPS,left,LO,left,ToolLoc,ppi,0.010061502993469022
sub-spaceloc2013,pIPS,left,LO,right,ToolLoc,ppi,-0.0020629402211592867
sub-spaceloc2013,pIPS,right,LO,left,ToolLoc,ppi,-0.006286873641699829
sub-spaceloc2013,pIPS,right,LO,right,ToolLoc,ppi,0.00040291566632991556
sub-spaceloc2013,aIPS,left,LO,left,ToolLoc,ppi,-0.0013151696437961181
sub-spaceloc2013,aIPS,left,LO,right,ToolLoc,ppi,0.0045677364936896735
sub-spaceloc2013,aIPS,right,LO,left,ToolLoc,ppi,0.0005261810001684353
sub-spaceloc2013,aIPS,right,LO,right,ToolLoc,ppi,-0.0029227794231181698
sub-spaceloc2014,pIPS,left,LO,left,ToolLoc,ppi,-0.01040521604432301
sub-spaceloc2014,pIPS,left,LO,right,ToolLoc,ppi,0.006824126100963762
sub-spaceloc2014,pIPS,right,LO,left,ToolLoc,ppi,-0.010481328355275434
sub-spaceloc2014,pIPS,right,LO,right,ToolLoc,ppi,0.009561296504539168
sub-spaceloc2014,aIPS,left,LO,left,ToolLoc,ppi,-0.011290460516465827
sub-spaceloc2014,aIPS,left,LO,right,ToolLoc,ppi,0.0067529148814613905
sub-spaceloc2014,aIPS,right,LO,left,ToolLoc,ppi,-0.006154701813251119
sub-spaceloc2014,aIPS,right,LO,right,ToolLoc,ppi,0.009091889495105152
sub-spaceloc2015,pIPS,left,LO,left,ToolLoc,ppi,0.005546398501712502
sub-spaceloc2015,pIPS,left,LO,right,ToolLoc,ppi,0.005399873526114569
sub-spaceloc2015,pIPS,right,LO,left,ToolLoc,ppi,0.0020210417053915493
sub-spaceloc2015,pIPS,right,LO,right,ToolLoc,ppi,0.000629001448973652
sub-spaceloc2015,aIPS,left,LO,left,ToolLoc,ppi,-0.016826282586726735
sub-spaceloc2015,aIPS,left,LO,right,ToolLoc,ppi,-0.028193241703837853
sub-spaceloc2015,aIPS,right,LO,left,ToolLoc,ppi,-0.011666192091580709
sub-spaceloc2015,aIPS,right,LO,right,ToolLoc,ppi,-0.01826581313949207
sub-spaceloc2016,pIPS,left,LO,left,ToolLoc,ppi,0.001425869175348367
sub-spaceloc2016,pIPS,left,LO,right,ToolLoc,ppi,0.0005236584609290501
sub-spaceloc2016,pIPS,right,LO,left,ToolLoc,ppi,0.012136423440439165
sub-spaceloc2016,pIPS,right,LO,right,ToolLoc,ppi,0.0029880415200127857
sub-spaceloc2016,aIPS,left,LO,left,ToolLoc,ppi,0.016149448561949782
sub-spaceloc2016,aIPS,left,LO,right,ToolLoc,ppi,-0.0025348353193368057
sub-spaceloc2016,aIPS,right,LO,left,ToolLoc,ppi,-0.003955703996854206
sub-spaceloc2016,aIPS,right,LO,right,ToolLoc,ppi,-0.011191938560391013
sub-spaceloc2017,pIPS,left,LO,left,ToolLoc,ppi,-0.0078849207052914
sub-spaceloc2017,pIPS,left,LO,right,ToolLoc,ppi,-0.008045779695649716
sub-spaceloc2017,pIPS,right,LO,left,ToolLoc,ppi,-0.00019447757796290407
sub-spaceloc2017,pIPS,right,LO,right,ToolLoc,ppi,-0.005072673839987891
sub-spaceloc2017,aIPS,left,LO,left,ToolLoc,ppi,0.004291109166133704
sub-spaceloc2017,aIPS,left,LO,right,ToolLoc,ppi,0.004303530978292904
sub-spaceloc2017,aIPS,right,LO,left,ToolLoc,ppi,-0.005453802459903164
sub-spaceloc2017,aIPS,right,LO,right,ToolLoc,ppi,-0.008260290673404763
sub-spaceloc2018,pIPS,left,LO,left,ToolLoc,ppi,-0.0006825055922645162
sub-spaceloc2018,pIPS,left,LO,right,ToolLoc,ppi,0.005324753091654515
sub-spaceloc2018,pIPS,right,LO,left,ToolLoc,ppi,-0.004613286411424853
sub-spaceloc2018,pIPS,right,LO,right,ToolLoc,ppi,0.002872605219981151
sub-spaceloc2018,aIPS,left,LO,left,ToolLoc,ppi,-0.006523059170368075
sub-spaceloc2018,aIPS,left,LO,right,ToolLoc,ppi,-0.002236307736642755
sub-spaceloc2018,aIPS,right,LO,left,ToolLoc,ppi,-0.004683058395902714
sub-spaceloc2018,aIPS,right,LO,right,ToolLoc,ppi,-0.003010608613639588
