sub,leftpIPS,leftaIPS,leftLO,rightpIPS,rightaIPS,rightLO
sub-spaceloc1001,-0.007771450940218811,-0.028191678049043246,-0.010449403701030549,-0.005242820585190194,-0.01056474801917643,-0.018282630516248653
sub-spaceloc1002,0.0033875946846341253,0.009637564040643193,0.032242528313251785,0.0007528403984850032,0.010260254881646181,0.01273271577762401
sub-spaceloc1003,0.003356090948228639,0.001398581640833374,-0.008360630954913809,0.002200269876500802,0.003856344709878276,0.005514244756739857
sub-spaceloc1004,-0.0023225748799984157,0.0035227268752387035,-0.0015200780867857192,-0.0032178612130009322,0.0012014497667389072,-9.608004025001498e-05
sub-spaceloc1005,0.004046765963363245,0.010359687648184401,0.014108453049606446,0.003935629552542098,-0.0006205002917710288,0.004758397971455274
sub-spaceloc1006,-0.011797326041216496,-0.0007347814650285045,-0.007039749379219906,-0.00581106734324423,-0.0034349173250504757,-0.0010937445677996727
sub-spaceloc1007,0.00021179400216175963,-0.0019017091890250347,0.018370522490833183,-0.010338637937793967,0.0006477019100402411,0.0015124655879240458
sub-spaceloc1008,-0.004972076098423063,-0.007395887716808011,-0.00011227594940238351,0.002683489770032838,-0.0035826902817392677,-0.005435940635478288
sub-spaceloc1009,-0.0012819129020304502,-0.006895486144882191,0.002315550246595867,0.0072416595308047475,-0.00592656354696632,-0.0026294165756297135
sub-spaceloc1010,0.0014030708351747297,-0.006419487713042786,0.010398466535371423,0.005333854500504607,0.001968732374630135,-0.0010567663223095566
sub-spaceloc1011,0.006877901188792016,0.0014574053156677386,0.021740807863974386,0.007748796171963212,0.0028245568673148135,-0.0032921753578145116
sub-spaceloc1012,0.017867425993440576,0.009149735308606695,0.01242341988681321,0.026648158671545314,0.009644032224180438,0.0053449958990421705
sub-spaceloc2013,-0.0015088568759596258,-0.00752541340883421,0.005412551151788807,-0.007401450931168991,-0.00488084735214916,-0.0018130492150710005
sub-spaceloc2014,0.01695403771697659,0.011375937991883831,-0.02064409334563305,0.015638954604489698,0.013115638572126938,-0.0038286761125028413
sub-spaceloc2015,0.0007702285609545783,-0.003980477893994405,7.170269458648774e-05,0.007977446568388434,-0.005849087789767423,0.010982113334576575
sub-spaceloc2016,-0.0025046807603885295,0.0022983210260903164,0.001808294413027301,-0.0021105336146491293,-0.0060942439390540455,-0.005159622674676577
sub-spaceloc2017,-0.0018239464674685813,-0.0021802781839784227,0.010558571942885675,0.0007543819860729275,2.7720370668375465e-05,-0.002514969632460422
sub-spaceloc2018,0.003984308772999405,-0.009397017041892353,-7.886958965224009e-05,-0.004230159985053747,-0.011925152292605976,-0.004940564610234379
