ROI_ID,Mean_Difference,Std_Error,SNR,p_value,Direction_Consistency,ROI_Name,Top_10_Percent,Top_25_Percent
57,0.009734702,0.0044761896,2.1747744,0.048469133681578944,1.0,7Networks_LH_Limbic_TempPole_1,False,False
58,0.008410346,0.0014790215,5.6864257,2.9625198063241408e-05,1.0,7Networks_LH_Limbic_TempPole_2,False,True
59,0.0080928,0.002210973,3.6602888,0.002224436881186871,1.0,7Networks_LH_Limbic_TempPole_3,False,False
60,0.013770926,0.005241214,2.6274307,0.019793001744999834,1.0,7Networks_LH_Limbic_TempPole_4,False,False
61,0.0230524,0.004812583,4.7900267,0.00019384003665013792,1.0,7Networks_LH_Cont_Par_1,False,False
62,0.028566375,0.0058179577,4.910035,0.00015010109886329627,1.0,7Networks_LH_Cont_Par_2,False,False
63,0.028111367,0.007968485,3.527818,0.0029617093485126513,1.0,7Networks_LH_Cont_Par_3,False,False
64,0.018174538,0.0047434038,3.8315394,0.0015349709527671248,1.0,7Networks_LH_Cont_Temp_1,False,False
65,0.012579767,0.0026646527,4.7209783,0.0002246748802336345,1.0,7Networks_LH_Cont_OFC_1,False,False
66,0.010511659,0.0035335626,2.9748049,0.009639383834812606,1.0,7Networks_LH_Cont_PFCl_1,False,False
67,0.018806163,0.0063427957,2.9649644,0.009840730060979066,1.0,7Networks_LH_Cont_PFCl_2,False,False
68,0.01731106,0.005468184,3.1657786,0.006436585469775413,1.0,7Networks_LH_Cont_PFCl_3,False,False
69,0.021684831,0.005217841,4.155901,0.0007596576309971313,1.0,7Networks_LH_Cont_PFCl_4,False,False
70,0.026974678,0.0066617997,4.0491576,0.0009574495201820925,1.0,7Networks_LH_Cont_PFCl_5,False,False
71,0.072841726,0.010975713,6.636628,4.457967550863555e-06,1.0,7Networks_LH_Cont_pCun_1,True,True
72,0.025423655,0.008937686,2.8445456,0.012657341220022407,1.0,7Networks_LH_Cont_Cing_1,False,False
73,0.009071297,0.001916086,4.734285,0.00021836718593606013,1.0,7Networks_LH_Cont_Cing_2,False,False
74,0.009400617,0.0021372843,4.3983936,0.00044956686744815707,1.0,7Networks_LH_Default_Temp_1,False,False
75,0.013353892,0.0037226062,3.5872426,0.0026050570705638274,1.0,7Networks_LH_Default_Temp_2,False,False
76,0.017270604,0.0057709944,2.9926565,0.00928424686900646,1.0,7Networks_LH_Default_Temp_3,False,False
77,0.016852867,0.004968399,3.3920114,0.003967786015506186,1.0,7Networks_LH_Default_Temp_4,False,False
