ROI_ID,pIPS_Connectivity,LO_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,Bootstrap_Significant,LOO_Reliability,LOO_Significant,Combined_Significant,ROI_Name,Direction
1,0.1086658782472736,0.10278471716140446,0.005881161085869141,0.005881161085869141,-0.016608463796345813,0.023800559484056735,False,0.00021411414074560568,False,False,7Networks_LH_Vis_1,pIPS > LO
2,0.11772621540646803,0.13447335832997373,-0.016747142923505695,0.016747142923505695,-0.029077821793524843,-0.005251771976289007,True,0.00035612337879282194,False,False,7Networks_LH_Vis_2,LO > pIPS
3,0.14527512263310582,0.2215493035159613,-0.07627418088285548,0.07627418088285548,-0.09813298433038749,-0.055258738367181086,True,0.005691407245587283,True,True,7Networks_LH_Vis_3,LO > pIPS
4,0.07435278045503717,0.030099962865566147,0.04425281758947102,0.04425281758947102,0.017351580598149573,0.06640270028560497,True,0.0025944012073967054,True,True,7Networks_LH_Vis_4,pIPS > LO
5,0.052987755129211826,0.10202146625440371,-0.049033711125191885,0.049033711125191885,-0.06390340256896851,-0.03444225741550326,True,0.0023545957268146177,False,False,7Networks_LH_Vis_5,LO > pIPS
6,0.06995481436483954,0.04327654882677292,0.02667826553806662,0.02667826553806662,0.008583781535516637,0.04348264912780568,True,0.0009216608902129412,False,False,7Networks_LH_Vis_6,pIPS > LO
7,0.055148394239184106,0.031134908259111017,0.02401348598007309,0.02401348598007309,0.0019984404115300446,0.046051976204800754,True,0.0009382225021775432,False,False,7Networks_LH_Vis_7,pIPS > LO
8,0.13087555844532817,0.13961141713355718,-0.008735858688229015,0.008735858688229015,-0.025159974141340514,0.007934506855120796,False,0.0002439962439071304,False,False,7Networks_LH_Vis_8,LO > pIPS
9,0.06922338236319392,0.1171774105413964,-0.047954028178202476,0.047954028178202476,-0.07313037193135212,-0.024683932491921284,True,0.0024586176089366222,True,True,7Networks_LH_Vis_9,LO > pIPS
10,0.08996300222842317,0.04028843850583622,0.04967456372258695,0.04967456372258695,0.029142391143709808,0.07014937485127072,True,0.002699577006309374,True,True,7Networks_LH_Vis_10,pIPS > LO
