ROI_ID,ROI_Name,FC_Diff,PPI_Diff,Same_Direction,Direction
105,7Networks_RH_Vis_5,-0.062409149188744406,-0.014407109098720342,True,Same
3,7Networks_LH_Vis_3,-0.07063293653099162,-0.01836842345884392,True,Same
5,7Networks_LH_Vis_5,-0.04773395714399061,-0.006837556312134029,True,Same
