n_schaefer_rois,combined_coverage,total_intersection_voxels,parcel_voxels,parcel
8,0.6221436984687868,2641,4245,LO
13,0.7387988560533841,5425,7343,pIPS
13,0.6775809834537404,5815,8582,aIPS
