n_schaefer_rois,combined_coverage,total_intersection_voxels,parcel_voxels,parcel
8,0.5639575971731449,2394,4245,LO
13,0.4961187525534523,3643,7343,pIPS
7,0.26450710790025633,2270,8582,aIPS
