parcel,schaefer_resolution,schaefer_index,schaefer_name,overlap_percentage,unique_coverage,cumulative_unique_coverage
LO,400,208,7Networks_RH_Vis_9,0.10318021201413427,0.10318021201413427,0.10318021201413427
LO,400,7,7Networks_LH_Vis_8,0.10011778563015312,0.10011778563015312,0.2032979976442874
LO,400,215,7Networks_RH_Vis_16,0.09988221436984687,0.09988221436984687,0.30318021201413425
LO,400,13,7Networks_LH_Vis_14,0.07373380447585394,0.07373380447585394,0.3769140164899882
LO,400,70,7Networks_LH_DorsAttn_Post_3,0.06548881036513546,0.06548881036513546,0.44240282685512367
LO,400,16,7Networks_LH_Vis_17,0.05818610129564193,0.05818610129564193,0.5005889281507656
LO,400,69,7Networks_LH_DorsAttn_Post_2,0.032037691401649,0.032037691401649,0.5326266195524146
LO,400,5,7Networks_LH_Vis_6,0.03133097762073027,0.03133097762073027,0.5639575971731449
LO,400,221,7Networks_RH_Vis_22,0.027326266195524147,0.027326266195524147,0.591283863368669
LO,400,209,7Networks_RH_Vis_10,0.02685512367491166,0.02685512367491166,0.6181389870435806
LO,400,217,7Networks_RH_Vis_18,0.026383981154299175,0.026383981154299175,0.6445229681978798
LO,400,271,7Networks_RH_DorsAttn_Post_2,0.024499411071849234,0.024499411071849234,0.6690223792697291
LO,400,203,7Networks_RH_Vis_4,0.022614840989399292,0.022614840989399292,0.6916372202591283
LO,400,202,7Networks_RH_Vis_3,0.018374558303886925,0.018374558303886925,0.7100117785630152
LO,400,2,7Networks_LH_Vis_3,0.017196702002355714,0.017196702002355714,0.7272084805653709
LO,400,270,7Networks_RH_DorsAttn_Post_1,0.017196702002355714,0.017196702002355714,0.7444051825677266
LO,400,293,7Networks_RH_SalVentAttn_TempOccPar_1,0.011071849234393404,0.011071849234393404,0.75547703180212
LO,400,272,7Networks_RH_DorsAttn_Post_3,0.008716136631330978,0.008716136631330978,0.764193168433451
LO,400,18,7Networks_LH_Vis_19,0.005182567726737338,0.005182567726737338,0.7693757361601883
pIPS,400,80,7Networks_LH_DorsAttn_Post_13,0.048209178809750786,0.048209178809750786,0.048209178809750786
pIPS,400,229,7Networks_RH_Vis_30,0.0437151028190113,0.0437151028190113,0.0919242816287621
pIPS,400,228,7Networks_RH_Vis_29,0.04330655045621681,0.04330655045621681,0.1352308320849789
pIPS,400,26,7Networks_LH_Vis_27,0.03908484270734033,0.03908484270734033,0.17431567479231924
pIPS,400,160,7Networks_LH_Default_Par_3,0.03881247446547732,0.03881247446547732,0.21312814925779655
pIPS,400,281,7Networks_RH_DorsAttn_Post_12,0.03745063325616233,0.03745063325616233,0.2505787825139589
