n_schaefer_rois,combined_coverage,total_intersection_voxels,parcel_voxels,parcel
34,0.7425206124852768,3152,4245,LO
63,0.8259566934495438,6065,7343,pIPS
73,0.790142158005127,6781,8582,aIPS
