parcel,resolution,n_rois,coverage
LO,200,15,0.776678445229682
pIPS,200,21,0.8685823233011031
aIPS,200,26,0.862036821253787
LO,400,19,0.7693757361601885
pIPS,400,33,0.8519678605474602
aIPS,400,38,0.8408296434397576
LO,1000,34,0.7425206124852768
pIPS,1000,63,0.8259566934495438
aIPS,1000,73,0.790142158005127
