parcel,schaefer_index,schaefer_name,dice_coefficient,overlap_parcel,overlap_roi
LO,2,7Networks_LH_Vis_3,0.26347546259050686,0.15429917550058891,0.9009628610729024
LO,104,7Networks_RH_Vis_5,0.24873199431933454,0.14440518256772675,0.8961988304093568
LO,134,7Networks_RH_DorsAttn_Post_1,0.11284690314280463,0.0723203769140165,0.25668896321070234
LO,135,7Networks_RH_DorsAttn_Post_2,0.11113240084307338,0.06831566548881036,0.29774127310061604
LO,7,7Networks_LH_Vis_8,0.09483454398708636,0.05535924617196702,0.33052039381153303
LO,31,7Networks_LH_DorsAttn_Post_2,0.08900738310090238,0.05111896348645465,0.3438985736925515
LO,10,7Networks_LH_Vis_11,0.07452681388012618,0.04452296819787986,0.22853688029020555
LO,110,7Networks_RH_Vis_11,0.05482233502538071,0.03180212014134275,0.19852941176470587
pIPS,114,7Networks_RH_Vis_15,0.18953046463160475,0.10527032548004903,0.9496314496314496
pIPS,36,7Networks_LH_DorsAttn_Post_7,0.1425160236269951,0.07721639656816015,0.9234527687296417
pIPS,32,7Networks_LH_DorsAttn_Post_3,0.14004044489383216,0.07544600299605066,0.9736379613356766
pIPS,13,7Networks_LH_Vis_14,0.12988929889298892,0.07190521585183168,0.6709021601016518
pIPS,79,7Networks_LH_Default_Par_2,0.10942401807002133,0.059376276726133735,0.6964856230031949
pIPS,141,7Networks_RH_DorsAttn_Post_8,0.09807270065869725,0.05474601661446275,0.47017543859649125
pIPS,113,7Networks_RH_Vis_14,0.0955920041004613,0.05079667710744927,0.8091106290672451
pIPS,12,7Networks_LH_Vis_13,0.08984789529536612,0.051886150074901265,0.3347978910369069
pIPS,166,7Networks_RH_Cont_Par_3,0.08149154216569947,0.044940759907394795,0.4365079365079365
pIPS,111,7Networks_RH_Vis_12,0.06954689146469968,0.04044668391665532,0.24791318864774625
pIPS,139,7Networks_RH_DorsAttn_Post_6,0.06870033324788516,0.036497344409641835,0.5838779956427015
pIPS,61,7Networks_LH_Cont_Par_2,0.06733416770963704,0.036633528530573334,0.41576506955177744
pIPS,70,7Networks_LH_Cont_pCun_1,0.0627700127064803,0.03363747787008035,0.4686907020872865
pIPS,181,7Networks_RH_Default_Par_1,0.05015982296533071,0.027781560670025875,0.2579013906447535
aIPS,141,7Networks_RH_DorsAttn_Post_8,0.17611529087633782,0.09683057562339781,0.9719298245614035
aIPS,36,7Networks_LH_DorsAttn_Post_7,0.13157894736842105,0.07049638778839432,0.9853420195439739
aIPS,114,7Networks_RH_Vis_15,0.11025968497232864,0.06035889070146819,0.6363636363636364
aIPS,32,7Networks_LH_DorsAttn_Post_3,0.10293956944596219,0.05488231181542764,0.827768014059754
aIPS,142,7Networks_RH_DorsAttn_Post_9,0.09962426194310252,0.05406665113027266,0.6330150068212824
aIPS,139,7Networks_RH_DorsAttn_Post_6,0.0955646499281053,0.050337916569564205,0.9411764705882353
aIPS,143,7Networks_RH_DorsAttn_Post_10,0.09056275171437901,0.04847354928920997,0.687603305785124
aIPS,166,7Networks_RH_Cont_Par_3,0.08545727136431784,0.0464926590538336,0.5277777777777778
aIPS,38,7Networks_LH_DorsAttn_Post_9,0.08199913457377758,0.04416219995339082,0.5725075528700906
aIPS,61,7Networks_LH_Cont_Par_2,0.08191570050926428,0.04404567699836868,0.5842349304482226
aIPS,39,7Networks_LH_DorsAttn_Post_10,0.07230485289327977,0.038802144022372406,0.5294117647058824
aIPS,37,7Networks_LH_DorsAttn_Post_8,0.07138047138047138,0.03705429969704032,0.9695121951219512
aIPS,140,7Networks_RH_DorsAttn_Post_7,0.059319251395425196,0.031577720810999764,0.4882882882882883
aIPS,35,7Networks_LH_DorsAttn_Post_6,0.0542825361512792,0.028431601025402004,0.5980392156862745
PFS,30,7Networks_LH_DorsAttn_Post_1,0.3651685393258427,0.29846938775510207,0.4702572347266881
PFS,100,7Networks_RH_Vis_1,0.1986947063089195,0.13979591836734695,0.3433583959899749
PFS,0,7Networks_LH_Vis_1,0.1596806387225549,0.10204081632653061,0.3669724770642202
PFS,134,7Networks_RH_DorsAttn_Post_1,0.13498098859315588,0.1086734693877551,0.17809364548494983
PFS,101,7Networks_RH_Vis_2,0.08725341426403642,0.058673469387755105,0.17011834319526628
PFS,99,7Networks_LH_Default_PHC_1,0.08144796380090498,0.05510204081632653,0.15606936416184972
