parcel,schaefer_resolution,schaefer_index,schaefer_name,overlap_percentage,unique_coverage,cumulative_unique_coverage
LO,1000,11,7Networks_LH_Vis_12,0.0574793875147232,0.0574793875147232,0.0574793875147232
LO,1000,28,7Networks_LH_Vis_29,0.04546525323910483,0.04546525323910483,0.10294464075382803
LO,1000,533,7Networks_RH_Vis_34,0.0414605418138987,0.0414605418138987,0.14440518256772672
LO,1000,176,7Networks_LH_DorsAttn_Post_5,0.03510011778563015,0.03510011778563015,0.17950530035335688
LO,1000,520,7Networks_RH_Vis_21,0.033215547703180213,0.033215547703180213,0.2127208480565371
LO,1000,691,7Networks_RH_DorsAttn_Post_8,0.029917550058892815,0.029917550058892815,0.24263839811542992
LO,1000,687,7Networks_RH_DorsAttn_Post_4,0.029681978798586573,0.029681978798586573,0.2723203769140165
LO,1000,525,7Networks_RH_Vis_26,0.0287396937573616,0.0287396937573616,0.3010600706713781
LO,1000,534,7Networks_RH_Vis_35,0.027326266195524147,0.027326266195524147,0.3283863368669022
LO,1000,538,7Networks_RH_Vis_39,0.027326266195524147,0.027326266195524147,0.35571260306242636
LO,1000,20,7Networks_LH_Vis_21,0.026619552414605417,0.026619552414605417,0.38233215547703175
LO,1000,551,7Networks_RH_Vis_52,0.024970553592461718,0.024970553592461718,0.40730270906949345
LO,1000,515,7Networks_RH_Vis_16,0.024734982332155476,0.024734982332155476,0.43203769140164894
LO,1000,689,7Networks_RH_DorsAttn_Post_6,0.02402826855123675,0.02402826855123675,0.4560659599528857
LO,1000,178,7Networks_LH_DorsAttn_Post_7,0.022850412249705535,0.022850412249705535,0.4789163722025912
LO,1000,35,7Networks_LH_Vis_36,0.021672555948174323,0.021672555948174323,0.5005889281507655
LO,1000,8,7Networks_LH_Vis_9,0.02143698468786808,0.02143698468786808,0.5220259128386335
LO,1000,33,7Networks_LH_Vis_34,0.02049469964664311,0.02049469964664311,0.5425206124852766
LO,1000,14,7Networks_LH_Vis_15,0.018610129564193167,0.018610129564193167,0.5611307420494698
LO,1000,177,7Networks_LH_DorsAttn_Post_6,0.018374558303886925,0.018374558303886925,0.5795053003533567
LO,1000,175,7Networks_LH_DorsAttn_Post_4,0.017432273262661956,0.017432273262661956,0.5969375736160186
LO,1000,504,7Networks_RH_Vis_5,0.015312131919905771,0.015312131919905771,0.6122497055359244
LO,1000,505,7Networks_RH_Vis_6,0.014605418138987044,0.014605418138987044,0.6268551236749115
LO,1000,41,7Networks_LH_Vis_42,0.013663133097762074,0.013663133097762074,0.6405182567726736
LO,1000,23,7Networks_LH_Vis_24,0.012485276796230859,0.012485276796230859,0.6530035335689045
LO,1000,5,7Networks_LH_Vis_6,0.012014134275618375,0.012014134275618375,0.6650176678445229
LO,1000,501,7Networks_RH_Vis_2,0.012014134275618375,0.012014134275618375,0.6770318021201412
LO,1000,548,7Networks_RH_Vis_49,0.011071849234393404,0.011071849234393404,0.6881036513545347
LO,1000,179,7Networks_LH_DorsAttn_Post_8,0.010836277974087162,0.010836277974087162,0.6989399293286218
LO,1000,6,7Networks_LH_Vis_7,0.009658421672555949,0.009658421672555949,0.7085983510011777
LO,1000,180,7Networks_LH_DorsAttn_Post_9,0.009187279151943463,0.009187279151943463,0.7177856301531212
LO,1000,747,7Networks_RH_SalVentAttn_TempOccPar_3,0.00895170789163722,0.00895170789163722,0.7267373380447585
LO,1000,510,7Networks_RH_Vis_11,0.008716136631330978,0.008716136631330978,0.7354534746760895
LO,1000,550,7Networks_RH_Vis_51,0.007067137809187279,0.007067137809187279,0.7425206124852768
pIPS,1000,579,7Networks_RH_Vis_80,0.02710064006536838,0.02710064006536838,0.02710064006536838
pIPS,1000,576,7Networks_RH_Vis_77,0.02424077352580689,0.02424077352580689,0.05134141359117527
pIPS,1000,699,7Networks_RH_DorsAttn_Post_16,0.022742748195560398,0.022742748195560398,0.07408416178673567
pIPS,1000,317,7Networks_LH_Cont_Par_1,0.022470379953697397,0.022470379953697397,0.09655454174043307
pIPS,1000,577,7Networks_RH_Vis_78,0.022061827590902902,0.022061827590902902,0.11861636933133597
pIPS,1000,209,7Networks_LH_DorsAttn_Post_38,0.02056380226065641,0.02056380226065641,0.1391801715919924
pIPS,1000,575,7Networks_RH_Vis_76,0.020427618139724907,0.020427618139724907,0.1596077897317173
pIPS,1000,698,7Networks_RH_DorsAttn_Post_15,0.02001906577693041,0.02001906577693041,0.1796268555086477
pIPS,1000,192,7Networks_LH_DorsAttn_Post_21,0.01947432929320441,0.01947432929320441,0.19910118480185213
pIPS,1000,75,7Networks_LH_Vis_76,0.018929592809478413,0.018929592809478413,0.21803077761133055
pIPS,1000,578,7Networks_RH_Vis_79,0.018793408688546915,0.018793408688546915,0.23682418629987748
pIPS,1000,198,7Networks_LH_DorsAttn_Post_27,0.018657224567615417,0.018657224567615417,0.2554814108674929
pIPS,1000,385,7Networks_LH_Default_Par_12,0.018248672204820918,0.018248672204820918,0.2737300830723138
pIPS,1000,187,7Networks_LH_DorsAttn_Post_16,0.017567751600163422,0.017567751600163422,0.2912978346724772
pIPS,1000,71,7Networks_LH_Vis_72,0.016750646874574424,0.016750646874574424,0.30804848154705167
pIPS,1000,900,7Networks_RH_Cont_pCun_3,0.016478278632711427,0.016478278632711427,0.3245267601797631
pIPS,1000,80,7Networks_LH_Vis_81,0.01606972626991693,0.01606972626991693,0.34059648644968005
pIPS,1000,565,7Networks_RH_Vis_66,0.015933542148985427,0.015933542148985427,0.35653002859866545
pIPS,1000,572,7Networks_RH_Vis_73,0.015933542148985427,0.015933542148985427,0.37246357074765085
pIPS,1000,707,7Networks_RH_DorsAttn_Post_24,0.015933542148985427,0.015933542148985427,0.38839711289663625
pIPS,1000,73,7Networks_LH_Vis_74,0.015797358028053928,0.015797358028053928,0.4041944709246902
pIPS,1000,695,7Networks_RH_DorsAttn_Post_12,0.01566117390712243,0.01566117390712243,0.4198556448318126
pIPS,1000,200,7Networks_LH_DorsAttn_Post_29,0.01552498978619093,0.01552498978619093,0.4353806346180035
pIPS,1000,78,7Networks_LH_Vis_79,0.014980253302464932,0.014980253302464932,0.45036088792046847
pIPS,1000,320,7Networks_LH_Cont_Par_4,0.014980253302464932,0.014980253302464932,0.4653411412229334
pIPS,1000,76,7Networks_LH_Vis_77,0.014026964455944436,0.014026964455944436,0.47936810567887783
pIPS,1000,710,7Networks_RH_DorsAttn_Post_27,0.013754596214081437,0.013754596214081437,0.49312270189295926
pIPS,1000,574,7Networks_RH_Vis_75,0.01334604385128694,0.01334604385128694,0.5064687457442462
pIPS,1000,720,7Networks_RH_DorsAttn_Post_37,0.012801307367560943,0.012801307367560943,0.5192700531118071
pIPS,1000,722,7Networks_RH_DorsAttn_Post_39,0.012801307367560943,0.012801307367560943,0.532071360479368
pIPS,1000,197,7Networks_LH_DorsAttn_Post_26,0.012665123246629443,0.012665123246629443,0.5447364837259975
pIPS,1000,702,7Networks_RH_DorsAttn_Post_19,0.012665123246629443,0.012665123246629443,0.557401606972627
pIPS,1000,79,7Networks_LH_Vis_80,0.011984202641971945,0.011984202641971945,0.569385809614599
pIPS,1000,72,7Networks_LH_Vis_73,0.011848018521040447,0.011848018521040447,0.5812338281356394
pIPS,1000,696,7Networks_RH_DorsAttn_Post_13,0.011711834400108947,0.011711834400108947,0.5929456625357483
pIPS,1000,705,7Networks_RH_DorsAttn_Post_22,0.01130328203731445,0.01130328203731445,0.6042489445730628
pIPS,1000,186,7Networks_LH_DorsAttn_Post_15,0.01116709791638295,0.01116709791638295,0.6154160424894457
pIPS,1000,191,7Networks_LH_DorsAttn_Post_20,0.01116709791638295,0.01116709791638295,0.6265831404058286
pIPS,1000,715,7Networks_RH_DorsAttn_Post_32,0.010758545553588452,0.010758545553588452,0.6373416859594171
pIPS,1000,69,7Networks_LH_Vis_70,0.010349993190793954,0.010349993190793954,0.6476916791502111
pIPS,1000,60,7Networks_LH_Vis_61,0.010077624948930955,0.010077624948930955,0.657769304099142
pIPS,1000,361,7Networks_LH_Cont_pCun_2,0.009941440827999455,0.009941440827999455,0.6677107449271414
pIPS,1000,212,7Networks_LH_DorsAttn_Post_41,0.009669072586136456,0.009669072586136456,0.6773798175132779
pIPS,1000,188,7Networks_LH_DorsAttn_Post_17,0.009532888465204958,0.009532888465204958,0.6869127059784829
pIPS,1000,207,7Networks_LH_DorsAttn_Post_36,0.009260520223341959,0.009260520223341959,0.6961732262018249
pIPS,1000,77,7Networks_LH_Vis_78,0.009124336102410459,0.009124336102410459,0.7052975623042353
pIPS,1000,854,7Networks_RH_Cont_Par_13,0.00885196786054746,0.00885196786054746,0.7141495301647828
pIPS,1000,205,7Networks_LH_DorsAttn_Post_34,0.008579599618684462,0.008579599618684462,0.7227291297834673
pIPS,1000,845,7Networks_RH_Cont_Par_4,0.008579599618684462,0.008579599618684462,0.7313087294021517
pIPS,1000,63,7Networks_LH_Vis_64,0.008307231376821463,0.008307231376821463,0.7396159607789732
pIPS,1000,704,7Networks_RH_DorsAttn_Post_21,0.008307231376821463,0.008307231376821463,0.7479231921557946
pIPS,1000,185,7Networks_LH_DorsAttn_Post_14,0.007762494893095465,0.007762494893095465,0.75568568704889
pIPS,1000,213,7Networks_LH_DorsAttn_Post_42,0.007762494893095465,0.007762494893095465,0.7634481819419855
pIPS,1000,571,7Networks_RH_Vis_72,0.0072177584093694675,0.0072177584093694675,0.7706659403513549
pIPS,1000,580,7Networks_RH_Vis_81,0.0072177584093694675,0.0072177584093694675,0.7778836987607244
pIPS,1000,568,7Networks_RH_Vis_69,0.006536837804711971,0.006536837804711971,0.7844205365654363
pIPS,1000,64,7Networks_LH_Vis_65,0.0064006536837804716,0.0064006536837804716,0.7908211902492168
pIPS,1000,390,7Networks_LH_Default_Par_17,0.0064006536837804716,0.0064006536837804716,0.7972218439329973
pIPS,1000,189,7Networks_LH_DorsAttn_Post_18,0.006128285441917472,0.006128285441917472,0.8033501293749148
pIPS,1000,362,7Networks_LH_Cont_pCun_3,0.006128285441917472,0.006128285441917472,0.8094784148168322
pIPS,1000,712,7Networks_RH_DorsAttn_Post_29,0.005583548958191475,0.005583548958191475,0.8150619637750237
pIPS,1000,899,7Networks_RH_Cont_pCun_1,0.005583548958191475,0.005583548958191475,0.8206455127332152
pIPS,1000,217,7Networks_LH_DorsAttn_Post_46,0.005311180716328476,0.005311180716328476,0.8259566934495437
aIPS,1000,729,7Networks_RH_DorsAttn_Post_46,0.02528548123980424,0.02528548123980424,0.02528548123980424
aIPS,1000,720,7Networks_RH_DorsAttn_Post_37,0.020741085993940808,0.020741085993940808,0.04602656723374505
aIPS,1000,579,7Networks_RH_Vis_80,0.019226287578652995,0.019226287578652995,0.06525285481239804
aIPS,1000,209,7Networks_LH_DorsAttn_Post_38,0.018410626893498018,0.018410626893498018,0.08366348170589605
aIPS,1000,699,7Networks_RH_DorsAttn_Post_16,0.017594966208343044,0.017594966208343044,0.10125844791423909
aIPS,1000,715,7Networks_RH_DorsAttn_Post_32,0.01631321370309951,0.01631321370309951,0.11757166161733859
aIPS,1000,198,7Networks_LH_DorsAttn_Post_27,0.016080167793055232,0.016080167793055232,0.13365182941039383
aIPS,1000,221,7Networks_LH_DorsAttn_Post_50,0.015963644838033093,0.015963644838033093,0.14961547424842692
aIPS,1000,192,7Networks_LH_DorsAttn_Post_21,0.015614075972966674,0.015614075972966674,0.1652295502213936
aIPS,1000,722,7Networks_RH_DorsAttn_Post_39,0.015497553017944535,0.015497553017944535,0.18072710323933813
aIPS,1000,707,7Networks_RH_DorsAttn_Post_24,0.015381030062922395,0.015381030062922395,0.19610813330226054
aIPS,1000,735,7Networks_RH_DorsAttn_Post_52,0.015381030062922395,0.015381030062922395,0.21148916336518295
aIPS,1000,320,7Networks_LH_Cont_Par_4,0.015264507107900257,0.015264507107900257,0.2267536704730832
aIPS,1000,698,7Networks_RH_DorsAttn_Post_15,0.014914938242833839,0.014914938242833839,0.24166860871591705
aIPS,1000,317,7Networks_LH_Cont_Par_1,0.01468189233278956,0.01468189233278956,0.2563505010487066
aIPS,1000,219,7Networks_LH_DorsAttn_Post_48,0.01433232346772314,0.01433232346772314,0.2706828245164297
aIPS,1000,712,7Networks_RH_DorsAttn_Post_29,0.014215800512701002,0.014215800512701002,0.2848986250291307
