n_schaefer_rois,combined_coverage,total_intersection_voxels,parcel_voxels,parcel
19,0.7693757361601885,3266,4245,LO
33,0.8519678605474602,6256,7343,pIPS
38,0.8408296434397576,7216,8582,aIPS
