parcel,schaefer_resolution,schaefer_index,schaefer_name,individual_coverage,cumulative_coverage
LO,400,5,7Networks_LH_Vis_6,0.03133097762073027,0.03133097762073027
LO,400,7,7Networks_LH_Vis_8,0.10011778563015312,0.1314487632508834
LO,400,13,7Networks_LH_Vis_14,0.07373380447585394,0.20518256772673732
LO,400,16,7Networks_LH_Vis_17,0.05818610129564193,0.26336866902237926
LO,400,69,7Networks_LH_DorsAttn_Post_2,0.032037691401649,0.29540636042402824
LO,400,70,7Networks_LH_DorsAttn_Post_3,0.06548881036513546,0.36089517078916367
LO,400,208,7Networks_RH_Vis_9,0.10318021201413427,0.46407538280329796
LO,400,215,7Networks_RH_Vis_16,0.09988221436984687,0.5639575971731449
pIPS,400,26,7Networks_LH_Vis_27,0.03908484270734033,0.03908484270734033
pIPS,400,28,7Networks_LH_Vis_29,0.035816423804984336,0.07490126651232466
pIPS,400,30,7Networks_LH_Vis_31,0.034999319079395345,0.10990058559172
pIPS,400,74,7Networks_LH_DorsAttn_Post_7,0.03282037314449135,0.14272095873621135
pIPS,400,80,7Networks_LH_DorsAttn_Post_13,0.048209178809750786,0.19093013754596214
pIPS,400,126,7Networks_LH_Cont_Par_1,0.036497344409641835,0.22742748195560397
pIPS,400,143,7Networks_LH_Cont_pCun_1,0.03418221435380635,0.26160969630941033
pIPS,400,160,7Networks_LH_Default_Par_3,0.03881247446547732,0.30042217077488764
pIPS,400,226,7Networks_RH_Vis_27,0.03540787144218984,0.33583004221707746
pIPS,400,228,7Networks_RH_Vis_29,0.04330655045621681,0.37913659267329425
pIPS,400,229,7Networks_RH_Vis_30,0.0437151028190113,0.42285169549230556
pIPS,400,274,7Networks_RH_DorsAttn_Post_5,0.035816423804984336,0.4586681192972899
pIPS,400,281,7Networks_RH_DorsAttn_Post_12,0.03745063325616233,0.4961187525534522
aIPS,400,80,7Networks_LH_DorsAttn_Post_13,0.04532742950361221,0.04532742950361221
aIPS,400,83,7Networks_LH_DorsAttn_Post_16,0.03390817991144256,0.07923560941505477
aIPS,400,281,7Networks_RH_DorsAttn_Post_12,0.04241435562805873,0.1216499650431135
aIPS,400,283,7Networks_RH_DorsAttn_Post_14,0.031461197855977625,0.15311116289909113
aIPS,400,285,7Networks_RH_DorsAttn_Post_16,0.04474481472850152,0.19785597762759266
aIPS,400,286,7Networks_RH_DorsAttn_Post_17,0.03111162899091121,0.22896760661850388
aIPS,400,288,7Networks_RH_DorsAttn_Post_19,0.035539501281752504,0.2645071079002564
