subject,within,between_dorsal,between_ventral
sub-025,0.41981626658704424,0.7278601080628581,0.5652198925058629
sub-038,0.6783966472533083,0.7950425879666652,0.6723711398054912
sub-057,0.7919762080213917,0.8191825356008196,0.718959024357721
sub-059,0.7953290261758225,0.7954929627095685,0.7304742647385618
sub-064,0.7536886934666936,0.7645202430196217,0.7323571910526511
sub-067,0.7718929852866809,0.7890005315591818,0.7159112087714995
sub-068,0.7626644167321001,0.8097460077251392,0.712907271314783
sub-071,0.8713465775532804,0.8025833209759266,0.7353499964740569
sub-083,0.6582329525174446,0.7899612941116763,0.6592827785144005
sub-085,0.692159245615982,0.7659532981613878,0.7024870299085417
sub-087,0.5878906991481495,0.7688211187349191,0.646411793617411
sub-088,0.8007227421573756,0.7997348029896448,0.7174710705807746
sub-093,0.6914594865712815,0.8165702588329307,0.6756215654388744
sub-094,0.7705056911432611,0.8027715489060111,0.7164597076277449
sub-095,0.8219193665254604,0.7823442928543856,0.7373070157270363
sub-096,0.5812731471395582,0.7270041106832764,0.6923671986355036
sub-097,0.6067843385269936,0.7960309477602765,0.5931765953485378
sub-107,0.6575959769677047,0.8029026207288849,0.6484847867831506
