subject,within,between_dorsal,between_ventral
sub-025,0.7674455995593915,0.7247940233845275,0.630103313113732
sub-038,0.899425918673404,0.8341817362270243,0.7805745345262286
sub-057,0.9702415817218755,0.8684531733063672,0.8377850066868516
sub-059,0.9560665247389702,0.8510869845697032,0.8186089555593626
sub-064,0.87882524063566,0.8256273360144492,0.7993723538830819
sub-067,0.9832330632510148,0.8702018368804975,0.8432107519644675
sub-068,0.9223561901609068,0.8552092374418038,0.8152365662491089
sub-071,0.9687855576529878,0.8515076979162748,0.8208630442326146
sub-083,0.9506661882324058,0.830273159774801,0.7989130390038043
sub-085,0.8597204693123919,0.8228143911161607,0.7788965935760717
sub-087,0.9085664496506638,0.7900728652921333,0.7388852518974254
sub-088,0.9604717255577685,0.8427869429645005,0.8129848798141602
sub-093,0.9522793362048232,0.8553089079224492,0.8229807666914165
sub-094,0.8893559809880891,0.8429672274996305,0.7947813608418237
sub-095,0.9449348008559235,0.8210677178211573,0.8099884145454637
sub-096,0.9090432734333489,0.8092402467589428,0.798510504668594
sub-097,0.868616087341087,0.8014718828690843,0.7186461671596808
sub-107,0.8694771344886736,0.8423054618685846,0.7734397978633463
