Subject1,Subject2,Dice
sub-025,sub-038,0.19356391556550412
sub-025,sub-057,0.19197747287634928
sub-025,sub-059,0.23430568624815162
sub-025,sub-064,0.2236206924020584
sub-025,sub-067,0.1923341538367453
sub-025,sub-068,0.20336100322392303
sub-025,sub-071,0.15847109104104506
sub-025,sub-083,0.27230942252212603
sub-025,sub-085,0.2460062818737546
sub-025,sub-087,0.22620849964062334
sub-025,sub-088,0.23881421078337686
sub-025,sub-093,0.22141968271648987
sub-025,sub-094,0.20368435804010498
sub-025,sub-095,0.19737986313282166
sub-025,sub-096,0.209815799233527
sub-025,sub-097,0.2190969899665552
sub-025,sub-107,0.23845837061020464
sub-038,sub-057,0.1944997775929758
sub-038,sub-059,0.19894409488681564
sub-038,sub-064,0.20538322437056614
sub-038,sub-067,0.18346854634924856
sub-038,sub-068,0.19020549156138228
sub-038,sub-071,0.16923348017621145
sub-038,sub-083,0.2755351081437428
sub-038,sub-085,0.22930526471841817
sub-038,sub-087,0.2063323134229081
sub-038,sub-088,0.26981546993020367
sub-038,sub-093,0.18995422130624304
sub-038,sub-094,0.27371146152035775
sub-038,sub-095,0.17149222705165057
sub-038,sub-096,0.21835748792270532
sub-038,sub-097,0.2291319094325786
sub-038,sub-107,0.22276103369958872
sub-057,sub-059,0.3715478837784481
sub-057,sub-064,0.33595968997223874
sub-057,sub-067,0.28144004274242973
sub-057,sub-068,0.34625638983882323
sub-057,sub-071,0.2618993800051666
sub-057,sub-083,0.19651840535570064
sub-057,sub-085,0.30036751042655985
sub-057,sub-087,0.29429976897326693
sub-057,sub-088,0.22140641348042364
sub-057,sub-093,0.5206018780405023
sub-057,sub-094,0.18385188994600155
sub-057,sub-095,0.43902351741290563
sub-057,sub-096,0.15781140042223787
sub-057,sub-097,0.30996079462795995
sub-057,sub-107,0.3181137837715253
sub-059,sub-064,0.31002158153948317
sub-059,sub-067,0.28427334802946397
sub-059,sub-068,0.3466260552390622
sub-059,sub-071,0.23995178194725034
sub-059,sub-083,0.25139436414075045
sub-059,sub-085,0.3134115153330415
sub-059,sub-087,0.2748362533475301
sub-059,sub-088,0.25511857416408895
sub-059,sub-093,0.39319022322650365
sub-059,sub-094,0.20321687738460387
sub-059,sub-095,0.32958975589276074
sub-059,sub-096,0.21298487498713858
sub-059,sub-097,0.29880532796264936
sub-059,sub-107,0.31936494332037507
sub-064,sub-067,0.2492503563879467
sub-064,sub-068,0.2868149148821648
sub-064,sub-071,0.21651917404129795
sub-064,sub-083,0.23268327852708953
sub-064,sub-085,0.3179176143543088
sub-064,sub-087,0.2670239441467132
sub-064,sub-088,0.2643364628266937
sub-064,sub-093,0.32196396644202996
sub-064,sub-094,0.22234296891980004
sub-064,sub-095,0.28256995261208434
sub-064,sub-096,0.19422088282219466
sub-064,sub-097,0.2661387184055963
sub-064,sub-107,0.27581496573439523
sub-067,sub-068,0.24464272879424176
sub-067,sub-071,0.19201091675970725
sub-067,sub-083,0.21752062782529785
sub-067,sub-085,0.25784151214936457
sub-067,sub-087,0.23610648126101244
sub-067,sub-088,0.20698368241597662
sub-067,sub-093,0.306625323926362
sub-067,sub-094,0.17969992394385673
sub-067,sub-095,0.2510108439642768
sub-067,sub-096,0.15295512277730736
sub-067,sub-097,0.23087813277214464
sub-067,sub-107,0.25961538461538464
sub-068,sub-071,0.24439030099266937
sub-068,sub-083,0.1900227752929232
sub-068,sub-085,0.28549812504111755
sub-068,sub-087,0.26902182284980747
sub-068,sub-088,0.22717673095162821
sub-068,sub-093,0.3664336235593647
sub-068,sub-094,0.17896702278502338
sub-068,sub-095,0.3251705617651328
sub-068,sub-096,0.16352565961148158
sub-068,sub-097,0.26390220517737295
sub-068,sub-107,0.2724529554798199
sub-071,sub-083,0.18411906247215043
sub-071,sub-085,0.20617836363392053
sub-071,sub-087,0.20981710797329825
sub-071,sub-088,0.2153979516486339
sub-071,sub-093,0.2752620738418027
sub-071,sub-094,0.16470156106519743
sub-071,sub-095,0.24157224439871403
sub-071,sub-096,0.16870327774583094
sub-071,sub-097,0.18409930269455888
sub-071,sub-107,0.24470346406297447
sub-083,sub-085,0.2839566375332908
sub-083,sub-087,0.23896051503588778
sub-083,sub-088,0.30992207035517466
sub-083,sub-093,0.20810362066909452
sub-083,sub-094,0.2700692715986446
sub-083,sub-095,0.1725394410186594
sub-083,sub-096,0.27749312490953826
sub-083,sub-097,0.24827458256029686
sub-083,sub-107,0.2776236457477642
sub-085,sub-087,0.29475497063246237
sub-085,sub-088,0.26228847026400254
sub-085,sub-093,0.3301368894752963
sub-085,sub-094,0.23618450341637148
sub-085,sub-095,0.2853686596961391
sub-085,sub-096,0.22004880724920073
sub-085,sub-097,0.3189320926110557
sub-085,sub-107,0.3068992575602101
sub-087,sub-088,0.24914738124238733
sub-087,sub-093,0.33355305538493807
sub-087,sub-094,0.19869977176844872
sub-087,sub-095,0.28326566708204365
sub-087,sub-096,0.17938814920215468
sub-087,sub-097,0.2547041038921277
sub-087,sub-107,0.2910075498831566
sub-088,sub-093,0.24511727226957866
sub-088,sub-094,0.2788850667745852
sub-088,sub-095,0.19637083470801717
sub-088,sub-096,0.22502086708891836
sub-088,sub-097,0.21411572833630116
sub-088,sub-107,0.28610623974656335
sub-093,sub-094,0.17656811788595167
sub-093,sub-095,0.47115987280557997
sub-093,sub-096,0.16330741736983675
sub-093,sub-097,0.3120607297261377
sub-093,sub-107,0.34526817295892587
sub-094,sub-095,0.1547419102004255
sub-094,sub-096,0.24974156278504103
sub-094,sub-097,0.21946597760551248
sub-094,sub-107,0.22381649274624588
sub-095,sub-096,0.1540643007270789
sub-095,sub-097,0.27876828796067143
sub-095,sub-107,0.2925362985171505
sub-096,sub-097,0.21664202982616995
sub-096,sub-107,0.20121132652742654
sub-097,sub-107,0.2567582147523886
