ROI,Analysis,Condition,Subject1,Subject2,Dice
pIPS,fc,tools,sub-spaceloc1005,sub-spaceloc1010,0.8545770781623407
pIPS,fc,tools,sub-spaceloc1005,sub-spaceloc1011,0.8517924023542001
pIPS,fc,tools,sub-spaceloc1005,sub-spaceloc1012,0.842740232007849
pIPS,fc,tools,sub-spaceloc1005,sub-spaceloc2013,0.8513786937699981
pIPS,fc,tools,sub-spaceloc1005,sub-spaceloc2014,0.860458133907914
pIPS,fc,tools,sub-spaceloc1005,sub-spaceloc2015,0.8481868721750012
pIPS,fc,tools,sub-spaceloc1005,sub-spaceloc2016,0.8512556312486718
pIPS,fc,tools,sub-spaceloc1005,sub-spaceloc2017,0.8406063130546515
pIPS,fc,tools,sub-spaceloc1005,sub-spaceloc2018,0.8187391919509511
pIPS,fc,tools,sub-spaceloc1006,sub-spaceloc1007,0.8593311310197873
pIPS,fc,tools,sub-spaceloc1006,sub-spaceloc1008,0.8918324017505092
pIPS,fc,tools,sub-spaceloc1006,sub-spaceloc1009,0.7866367658645979
pIPS,fc,tools,sub-spaceloc1006,sub-spaceloc1010,0.8726251299405038
pIPS,fc,tools,sub-spaceloc1006,sub-spaceloc1011,0.8771975226331672
pIPS,fc,tools,sub-spaceloc1006,sub-spaceloc1012,0.8670575501829362
pIPS,fc,tools,sub-spaceloc1006,sub-spaceloc2013,0.8493763270237252
pIPS,fc,tools,sub-spaceloc1006,sub-spaceloc2014,0.8888356411289468
pIPS,fc,tools,sub-spaceloc1006,sub-spaceloc2015,0.8737107484819795
pIPS,fc,tools,sub-spaceloc1006,sub-spaceloc2016,0.8686273676012113
pIPS,fc,tools,sub-spaceloc1006,sub-spaceloc2017,0.8523709787600524
pIPS,fc,tools,sub-spaceloc1006,sub-spaceloc2018,0.8449166149691639
pIPS,fc,tools,sub-spaceloc1007,sub-spaceloc1008,0.8717799434112476
pIPS,fc,tools,sub-spaceloc1007,sub-spaceloc1009,0.8028945793412507
pIPS,fc,tools,sub-spaceloc1007,sub-spaceloc1010,0.8655373797570705
pIPS,fc,tools,sub-spaceloc1007,sub-spaceloc1011,0.8620362410262709
pIPS,fc,tools,sub-spaceloc1007,sub-spaceloc1012,0.8618143459915611
pIPS,fc,tools,sub-spaceloc1007,sub-spaceloc2013,0.8628770988843453
pIPS,fc,tools,sub-spaceloc1007,sub-spaceloc2014,0.8724218212261332
pIPS,fc,tools,sub-spaceloc1007,sub-spaceloc2015,0.8627133208372105
pIPS,fc,tools,sub-spaceloc1007,sub-spaceloc2016,0.8611470775964256
pIPS,fc,tools,sub-spaceloc1007,sub-spaceloc2017,0.8498821821789636
pIPS,fc,tools,sub-spaceloc1007,sub-spaceloc2018,0.829843254360178
pIPS,fc,tools,sub-spaceloc1008,sub-spaceloc1009,0.7928055455260622
pIPS,fc,tools,sub-spaceloc1008,sub-spaceloc1010,0.8802837511411635
