,F Value,Num DF,Den DF,Pr > F
ObjectCategory,0.08523638499199843,1.0,17.0,0.7738555937262538
ComparisonType,307.66314273155353,2.0,34.0,1.6721331713440768e-22
ObjectCategory:ComparisonType,0.5748416966599118,2.0,34.0,0.5681689444595756
