,F Value,Num DF,Den DF,Pr > F
ObjectCategory,0.2527232012002841,1.0,17.0,0.6216141405419962
ComparisonType,78.64739195716852,2.0,34.0,1.7627406140664912e-13
ObjectCategory:ComparisonType,0.40829104638913477,2.0,34.0,0.6680012894668266
