Analysis,Condition,Group,N,Mean,Std,CI_Lower,CI_Upper
fc,nontools,"Within-subject, between-ROI",18,0.9228457386664677,0.03291534517166674,0.9064773225986693,0.9392141547342661
fc,nontools,"Between-subject, within-pIPS",18,0.8401189359122809,0.025779497516204005,0.827299093399214,0.8529387784253478
fc,nontools,"Between-subject, within-LO",18,0.785283603464656,0.0351896774506102,0.7677841885626051,0.8027830183667068
