Analysis,Condition,Group,N,Mean,Std,CI_Lower,CI_Upper
ppi,tools,"Within-subject, between-ROI",18,0.6762362196853168,0.13171726047105117,0.6107347670511024,0.7417376723195311
ppi,tools,"Between-subject, within-pIPS",18,0.46965382860339566,0.07279787915968512,0.43345229498056903,0.5058553622262223
ppi,tools,"Between-subject, within-LO",18,0.5020838688516648,0.05859413323008179,0.4729456919059291,0.5312220457974005
