Group,Tools_Mean,Nontools_Mean,Difference
Within-subject_between-ROI,0.6762362196853168,0.6587012897040001,0.01753492998131667
Between-subject_within-pIPS,0.46965382860339566,0.4521344306684862,0.017519397934909475
Between-subject_within-LO,0.5020838688516648,0.5011498931603825,0.000933975691282285
