ObjectCategory,ComparisonType,mean,std,count
nontools,Between-dorsal,0.8401189359122809,0.026526884098282834,18
nontools,Between-ventral,0.785283603464656,0.03620987936640538,18
nontools,Within-subject,0.9228457386664677,0.03386961075850889,18
tools,Between-dorsal,0.8416808876060825,0.021443214241969755,18
tools,Between-ventral,0.7859765992459867,0.03547504956847249,18
tools,Within-subject,0.91912355310552,0.04135338582519284,18
