Group,FC_Mean,PPI_Mean,Difference
Within-subject_between-ROI,0.9228457386664677,0.6587012897040001,-0.2641444489624676
Between-subject_within-pIPS,0.8401189359122809,0.4521344306684862,-0.38798450524379474
Between-subject_within-LO,0.785283603464656,0.5011498931603825,-0.2841337103042735
