ObjectCategory,ComparisonType,mean,std,count
nontools,Between-dorsal,0.4521344306684861,0.0745959508935133,18
nontools,Between-ventral,0.5011498931603824,0.072187367663607,18
nontools,Within-subject,0.6587012897040002,0.11500554607803176,18
tools,Between-dorsal,0.46965382860339566,0.07490839966356796,18
tools,Between-ventral,0.5020838688516647,0.060292865679664145,18
tools,Within-subject,0.6762362196853168,0.1355359428577955,18
