ROI,fc,ppi,Difference
LO,0.7859765992459867,0.5020838688516648,-0.28389273039432195
pIPS,0.8416808876060824,0.4696538286033957,-0.3720270590026867
pIPS vs LO,0.91912355310552,0.6762362196853168,-0.2428873334202032
