Group,FC_Mean,PPI_Mean,Difference
Within-subject_between-ROI,0.91912355310552,0.6762362196853168,-0.2428873334202032
Between-subject_within-pIPS,0.8416808876060823,0.46965382860339566,-0.3720270590026866
Between-subject_within-LO,0.7859765992459868,0.5020838688516648,-0.28389273039432206
