ROI,fc,ppi,Difference
LO,0.7852836034646559,0.5011498931603825,-0.28413371030427337
pIPS,0.840118935912281,0.4521344306684861,-0.38798450524379496
pIPS vs LO,0.9228457386664677,0.6587012897040001,-0.2641444489624676
