ROI,Analysis,Condition,Subject1,Subject2,Dice
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc1008,0.8808839513746725
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc1009,0.8105956702971628
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc1010,0.8721276214375336
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc1011,0.8659154097215693
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc1012,0.8595345306332706
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc2013,0.8749578759197556
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc2014,0.8765975876480652
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc2015,0.867979509014703
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc2016,0.8603014201437993
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc2017,0.8122142170989434
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc2018,0.8078502334730671
pIPS,fc,nontools,sub-spaceloc1006,sub-spaceloc1007,0.8699457685862446
pIPS,fc,nontools,sub-spaceloc1006,sub-spaceloc1008,0.8888675707495749
pIPS,fc,nontools,sub-spaceloc1006,sub-spaceloc1009,0.7995672632753
pIPS,fc,nontools,sub-spaceloc1006,sub-spaceloc1010,0.8767916746321065
pIPS,fc,nontools,sub-spaceloc1006,sub-spaceloc1011,0.8776809099670904
pIPS,fc,nontools,sub-spaceloc1006,sub-spaceloc1012,0.8673218455485203
pIPS,fc,nontools,sub-spaceloc1006,sub-spaceloc2013,0.873819092397538
pIPS,fc,nontools,sub-spaceloc1006,sub-spaceloc2014,0.8873281041140256
pIPS,fc,nontools,sub-spaceloc1006,sub-spaceloc2015,0.878936526133291
pIPS,fc,nontools,sub-spaceloc1006,sub-spaceloc2016,0.8673999313545805
pIPS,fc,nontools,sub-spaceloc1006,sub-spaceloc2017,0.8118380604509715
pIPS,fc,nontools,sub-spaceloc1006,sub-spaceloc2018,0.8243546904922802
pIPS,fc,nontools,sub-spaceloc1007,sub-spaceloc1008,0.881533358869002
pIPS,fc,nontools,sub-spaceloc1007,sub-spaceloc1009,0.8185718312416096
pIPS,fc,nontools,sub-spaceloc1007,sub-spaceloc1010,0.8797439896121899
pIPS,fc,nontools,sub-spaceloc1007,sub-spaceloc1011,0.8741905298290443
pIPS,fc,nontools,sub-spaceloc1007,sub-spaceloc1012,0.8710587652530042
pIPS,fc,nontools,sub-spaceloc1007,sub-spaceloc2013,0.8868598147177067
pIPS,fc,nontools,sub-spaceloc1007,sub-spaceloc2014,0.8862871216765771
pIPS,fc,nontools,sub-spaceloc1007,sub-spaceloc2015,0.8799315569703536
pIPS,fc,nontools,sub-spaceloc1007,sub-spaceloc2016,0.8654200543219054
pIPS,fc,nontools,sub-spaceloc1007,sub-spaceloc2017,0.8223869070115188
pIPS,fc,nontools,sub-spaceloc1007,sub-spaceloc2018,0.814308818621628
pIPS,fc,nontools,sub-spaceloc1008,sub-spaceloc1009,0.8089195789633108
pIPS,fc,nontools,sub-spaceloc1008,sub-spaceloc1010,0.8852631556057157
pIPS,fc,nontools,sub-spaceloc1008,sub-spaceloc1011,0.8853797535735314
pIPS,fc,nontools,sub-spaceloc1008,sub-spaceloc1012,0.8791006427738366
pIPS,fc,nontools,sub-spaceloc1008,sub-spaceloc2013,0.8865522007183366
pIPS,fc,nontools,sub-spaceloc1008,sub-spaceloc2014,0.8953592338812323
pIPS,fc,nontools,sub-spaceloc1008,sub-spaceloc2015,0.8830174542651748
pIPS,fc,nontools,sub-spaceloc1008,sub-spaceloc2016,0.876066222901902
pIPS,fc,nontools,sub-spaceloc1008,sub-spaceloc2017,0.8241688975929256
