ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key
65,7Networks_LH_Cont_OFC_1,OFC_1,-0.007625376875254864,-0.8313860185008881,0.4061244264658386,False,-0.007625376875254867,0.0003954280367592516,-0.007625376875254864,-0.031287025409708645,0.006009823694801747,Frontal,L,Cont_OFC,Frontal,"(0, 'Cont_OFC', 0)"
67,7Networks_LH_Cont_PFCl_2,PFCl_2,0.02960001697815474,3.6249799659277815,0.0003091670667999792,True,0.02960001697815474,0.000303052617283792,0.02960001697815474,0.022345487040533994,0.03908316110422265,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
66,7Networks_LH_Cont_PFCl_1,PFCl_1,0.012991232863613448,2.2427407741725345,0.025274229797524677,True,0.01299123286361345,0.0002353070702209316,0.012991232863613448,0.0024754009215571236,0.018081523334665776,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
68,7Networks_LH_Cont_PFCl_3,PFCl_3,0.21856051988339317,13.404604608634642,2.1294501030926297e-38,True,0.21856051988339317,0.0004595204481034884,0.21856051988339317,0.1899799940076783,0.24281648910613335,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
69,7Networks_LH_Cont_PFCl_4,PFCl_4,0.00968921930809168,2.2326959947167846,0.025835618185290593,True,0.00968921930809168,0.00015081482144441475,0.00968921930809168,0.009341467581867406,0.013441133189336893,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
70,7Networks_LH_Cont_PFCl_5,PFCl_5,0.1389677435090264,7.1027200342882635,3.13305330097799e-12,True,0.13896774350902644,0.0007558783524700485,0.1389677435090264,0.10694301437996485,0.16124485912548414,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
176,7Networks_RH_Cont_PFCl_7,PFCl_7,0.215967472650631,9.46241205313575,1.757309722587442e-20,True,0.215967472650631,0.0006875363950690703,0.215967472650631,0.18977405765703656,0.26090629483826194,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
175,7Networks_RH_Cont_PFCl_6,PFCl_6,0.0,,,False,0.0,0.0,0.0,0.0,0.0,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
174,7Networks_RH_Cont_PFCl_5,PFCl_5,0.34953556661159596,12.921673751685628,1.6920533886404682e-35,True,0.34953556661159596,0.0008444985756041361,0.34953556661159596,0.31658252787714214,0.3753494819642383,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
173,7Networks_RH_Cont_PFCl_4,PFCl_4,0.27394635570462916,10.401164699459898,3.2304256627282756e-24,True,0.2739463557046292,0.0007999611811220198,0.27394635570462916,0.22481191732526984,0.30056693964804165,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
172,7Networks_RH_Cont_PFCl_3,PFCl_3,0.46687215860218656,15.037829863536825,2.5690750451215274e-46,True,0.46687215860218645,0.0009716278129583636,0.46687215860218656,0.4116141972156193,0.48524760947963763,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
171,7Networks_RH_Cont_PFCl_2,PFCl_2,0.2442902619001041,8.915354141054285,3.286433351561935e-18,True,0.2442902619001041,0.0009718158805192607,0.2442902619001041,0.2278458303872313,0.2503604345510946,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
170,7Networks_RH_Cont_PFCl_1,PFCl_1,0.049044087804994266,5.384571653576359,9.081024400753891e-08,True,0.049044087804994266,0.00029021334938206814,0.049044087804994266,0.033658103154514674,0.06352289565403807,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
181,7Networks_RH_Cont_PFCmp_2,PFCmp_2,0.04256766338351457,4.623272199898395,4.384367842573103e-06,True,0.04256766338351457,0.0003209448640858506,0.04256766338351457,0.031120969020230684,0.04910793050158207,Frontal,R,Cont_PFCmp,Frontal,"(0, 'Cont_PFCmp', 1)"
180,7Networks_RH_Cont_PFCmp_1,PFCmp_1,0.03049237346357768,3.482546626934143,0.0005307726596775408,True,0.03049237346357768,0.0003474620901634134,0.03049237346357768,0.01246438325369434,0.038765951485758614,Frontal,R,Cont_PFCmp,Frontal,"(0, 'Cont_PFCmp', 1)"
169,7Networks_RH_Cont_PFCv_1,PFCv_1,0.0,,,False,0.0,0.0,0.0,0.0,0.0,Frontal,R,Cont_PFCv,Frontal,"(0, 'Cont_PFCv', 1)"
