ROI_ID,ROI_Name,Clean_Name,Mean_Difference,p_value,t_stat,Significant,Effect_Size,N_pairs,Lobe,Hemisphere
b'17Networks_RH_SalVentAttnB_Ins_1',Wang_b'17Networks_RH_SalVentAttnB_Ins_1',b'17Networks_RH_SalVentAttnB_Ins_1',0.0,,,False,,242,Insular,R
b'17Networks_RH_DefaultA_pCunPCC_1',Wang_b'17Networks_RH_DefaultA_pCunPCC_1',b'17Networks_RH_DefaultA_pCunPCC_1',1.2821112087898108,2.2350373318511775e-106,25.096737874970316,True,0.8256220611398875,924,Frontal,R
b'17Networks_RH_DorsAttnB_FEF_1',Wang_b'17Networks_RH_DorsAttnB_FEF_1',b'17Networks_RH_DorsAttnB_FEF_1',0.0,,,False,,505,Temporal,R
b'17Networks_LH_ContA_Temp_1',Wang_b'17Networks_LH_ContA_Temp_1',b'17Networks_LH_ContA_Temp_1',1.3415213995381432,1.213435740826022e-79,21.930107359044364,True,0.8730237894196069,631,Frontal,L
b'17Networks_LH_SalVentAttnB_IPL_1',Wang_b'17Networks_LH_SalVentAttnB_IPL_1',b'17Networks_LH_SalVentAttnB_IPL_1',0.0,,,False,,534,Frontal,L
b'17Networks_LH_ContA_PFCl_2',Wang_b'17Networks_LH_ContA_PFCl_2',b'17Networks_LH_ContA_PFCl_2',0.0,,,False,,414,Frontal,L
b'17Networks_LH_DefaultA_PFCm_3',Wang_b'17Networks_LH_DefaultA_PFCm_3',b'17Networks_LH_DefaultA_PFCm_3',0.0,,,False,,623,Frontal,L
b'17Networks_RH_SalVentAttnA_FrMed_2',Wang_b'17Networks_RH_SalVentAttnA_FrMed_2',b'17Networks_RH_SalVentAttnA_FrMed_2',0.0,,,False,,608,Frontal,R
b'17Networks_RH_DefaultB_Temp_1',Wang_b'17Networks_RH_DefaultB_Temp_1',b'17Networks_RH_DefaultB_Temp_1',0.0,,,False,,476,Frontal,R
b'17Networks_RH_DorsAttnB_PostC_2',Wang_b'17Networks_RH_DorsAttnB_PostC_2',b'17Networks_RH_DorsAttnB_PostC_2',-0.014689916471037264,0.1575654314393199,-1.41581540042248,False,-0.0687580741069022,424,Temporal,R
b'17Networks_RH_SomMotA_1',Wang_b'17Networks_RH_SomMotA_1',b'17Networks_RH_SomMotA_1',0.0,,,False,,466,Somatomotor,R
b'17Networks_RH_SomMotA_8',Wang_b'17Networks_RH_SomMotA_8',b'17Networks_RH_SomMotA_8',0.0,,,False,,655,Somatomotor,R
b'17Networks_RH_TempPar_1',Wang_b'17Networks_RH_TempPar_1',b'17Networks_RH_TempPar_1',0.0,,,False,,712,Other,R
b'17Networks_LH_DefaultC_IPL_1',Wang_b'17Networks_LH_DefaultC_IPL_1',b'17Networks_LH_DefaultC_IPL_1',0.2368600211334199,2.575087096711936e-12,7.14152272469124,True,0.28543265412979735,626,Frontal,L
b'17Networks_LH_SomMotA_5',Wang_b'17Networks_LH_SomMotA_5',b'17Networks_LH_SomMotA_5',-0.17496401278347654,0.00032608134710581657,-3.6279069490022318,True,-0.18886129200249796,369,Somatomotor,L
b'17Networks_RH_ContA_PFCd_1',Wang_b'17Networks_RH_ContA_PFCd_1',b'17Networks_RH_ContA_PFCd_1',0.0,,,False,,633,Frontal,R
b'17Networks_RH_SalVentAttnB_PFCmp_1',Wang_b'17Networks_RH_SalVentAttnB_PFCmp_1',b'17Networks_RH_SalVentAttnB_PFCmp_1',0.0,,,False,,636,Frontal,R
b'17Networks_RH_SalVentAttnA_PrC_1',Wang_b'17Networks_RH_SalVentAttnA_PrC_1',b'17Networks_RH_SalVentAttnA_PrC_1',0.0,,,False,,409,Frontal,R
b'17Networks_LH_SomMotB_Aud_3',Wang_b'17Networks_LH_SomMotB_Aud_3',b'17Networks_LH_SomMotB_Aud_3',0.0,,,False,,576,Somatomotor,L
b'17Networks_RH_SomMotA_4',Wang_b'17Networks_RH_SomMotA_4',b'17Networks_RH_SomMotA_4',-0.055456604307595636,0.014198059799747588,-2.4643470244952272,True,-0.13042707544367949,357,Somatomotor,R
b'17Networks_LH_DorsAttnB_PostC_3',Wang_b'17Networks_LH_DorsAttnB_PostC_3',b'17Networks_LH_DorsAttnB_PostC_3',0.0,,,False,,369,Temporal,L
b'17Networks_LH_DefaultB_PFCd_2',Wang_b'17Networks_LH_DefaultB_PFCd_2',b'17Networks_LH_DefaultB_PFCd_2',0.0,,,False,,730,Frontal,L
