ROI_ID,ROI_Name,Clean_Name,Mean_Difference,p_value,t_stat,Significant,Effect_Size,N_pairs,Lobe,Hemisphere
b'17Networks_LH_LimbicA_TempPole_2',Wang_b'17Networks_LH_LimbicA_TempPole_2',b'17Networks_LH_LimbicA_TempPole_2',0.5761550786803942,4.9532918174283884e-54,16.434295270607144,True,0.5138226784685573,1023,Temporal,L
b'17Networks_RH_SalVentAttnB_Ins_1',Wang_b'17Networks_RH_SalVentAttnB_Ins_1',b'17Networks_RH_SalVentAttnB_Ins_1',0.0,,,False,,242,Insular,R
b'17Networks_RH_DefaultA_pCunPCC_1',Wang_b'17Networks_RH_DefaultA_pCunPCC_1',b'17Networks_RH_DefaultA_pCunPCC_1',-0.12322949860646389,8.563480331483555e-10,-6.198872559645888,True,-0.20392793537293064,924,Frontal,R
b'17Networks_RH_DorsAttnB_FEF_1',Wang_b'17Networks_RH_DorsAttnB_FEF_1',b'17Networks_RH_DorsAttnB_FEF_1',-1.3876125786161497,1.0443415986059422e-76,-22.208728366717768,True,-0.9882754412888956,505,Temporal,R
b'17Networks_LH_ContA_Temp_1',Wang_b'17Networks_LH_ContA_Temp_1',b'17Networks_LH_ContA_Temp_1',1.4380442764484318,1.2287812325374368e-105,26.701663358028853,True,1.0629764344960704,631,Frontal,L
b'17Networks_LH_SalVentAttnB_IPL_1',Wang_b'17Networks_LH_SalVentAttnB_IPL_1',b'17Networks_LH_SalVentAttnB_IPL_1',0.0,,,False,,534,Frontal,L
b'17Networks_LH_ContA_PFCl_2',Wang_b'17Networks_LH_ContA_PFCl_2',b'17Networks_LH_ContA_PFCl_2',0.0,,,False,,414,Frontal,L
b'17Networks_LH_DefaultA_PFCm_3',Wang_b'17Networks_LH_DefaultA_PFCm_3',b'17Networks_LH_DefaultA_PFCm_3',0.0,,,False,,623,Frontal,L
b'17Networks_RH_SalVentAttnA_FrMed_2',Wang_b'17Networks_RH_SalVentAttnA_FrMed_2',b'17Networks_RH_SalVentAttnA_FrMed_2',0.022301919279903437,0.1908411947868189,1.309556976907515,False,0.053109548461410576,608,Frontal,R
b'17Networks_RH_DefaultB_Temp_1',Wang_b'17Networks_RH_DefaultB_Temp_1',b'17Networks_RH_DefaultB_Temp_1',-0.5761344778998373,1.1200289439196548e-23,-10.591865459000042,True,-0.4854773573495182,476,Frontal,R
b'17Networks_RH_DorsAttnB_PostC_2',Wang_b'17Networks_RH_DorsAttnB_PostC_2',b'17Networks_RH_DorsAttnB_PostC_2',0.0,,,False,,424,Temporal,R
b'17Networks_RH_SomMotA_1',Wang_b'17Networks_RH_SomMotA_1',b'17Networks_RH_SomMotA_1',-0.09546018027144622,0.0003068623590575014,-3.636844426597095,True,-0.1684735647636902,466,Somatomotor,R
b'17Networks_RH_SomMotA_8',Wang_b'17Networks_RH_SomMotA_8',b'17Networks_RH_SomMotA_8',1.0639935578533257,6.1342814863888205e-56,17.385717605471637,True,0.6793161993602775,655,Somatomotor,R
b'17Networks_RH_TempPar_1',Wang_b'17Networks_RH_TempPar_1',b'17Networks_RH_TempPar_1',-0.24620584195806938,5.396945664242228e-13,-7.3516685497935015,True,-0.275515427253224,712,Other,R
b'17Networks_LH_DefaultC_IPL_1',Wang_b'17Networks_LH_DefaultC_IPL_1',b'17Networks_LH_DefaultC_IPL_1',0.0,,,False,,626,Frontal,L
b'17Networks_LH_SomMotA_5',Wang_b'17Networks_LH_SomMotA_5',b'17Networks_LH_SomMotA_5',0.0,,,False,,369,Somatomotor,L
b'17Networks_RH_ContA_PFCd_1',Wang_b'17Networks_RH_ContA_PFCd_1',b'17Networks_RH_ContA_PFCd_1',-1.7190095000302017,1.3687717988378245e-103,-26.308701720641224,True,-1.0456770154199997,633,Frontal,R
b'17Networks_RH_SalVentAttnB_PFCmp_1',Wang_b'17Networks_RH_SalVentAttnB_PFCmp_1',b'17Networks_RH_SalVentAttnB_PFCmp_1',-0.11699902373868455,4.784421100787377e-07,-5.087464881281932,True,-0.20173110456930027,636,Frontal,R
b'17Networks_RH_SalVentAttnA_PrC_1',Wang_b'17Networks_RH_SalVentAttnA_PrC_1',b'17Networks_RH_SalVentAttnA_PrC_1',-0.0491623249757162,0.008047371192472534,-2.6631638018734405,True,-0.13168497486577949,409,Frontal,R
b'17Networks_LH_SomMotB_Aud_3',Wang_b'17Networks_LH_SomMotB_Aud_3',b'17Networks_LH_SomMotB_Aud_3',0.0,,,False,,576,Somatomotor,L
b'17Networks_RH_SomMotA_4',Wang_b'17Networks_RH_SomMotA_4',b'17Networks_RH_SomMotA_4',0.0,,,False,,357,Somatomotor,R
b'17Networks_LH_DorsAttnB_PostC_3',Wang_b'17Networks_LH_DorsAttnB_PostC_3',b'17Networks_LH_DorsAttnB_PostC_3',0.0,,,False,,369,Temporal,L
b'17Networks_LH_DefaultB_PFCd_2',Wang_b'17Networks_LH_DefaultB_PFCd_2',b'17Networks_LH_DefaultB_PFCd_2',0.0,,,False,,730,Frontal,L
b'17Networks_RH_DefaultA_PFCm_2',Wang_b'17Networks_RH_DefaultA_PFCm_2',b'17Networks_RH_DefaultA_PFCm_2',0.0,,,False,,114,Frontal,R
b'17Networks_LH_DefaultA_IPL_1',Wang_b'17Networks_LH_DefaultA_IPL_1',b'17Networks_LH_DefaultA_IPL_1',0.0,,,False,,1073,Frontal,L
b'17Networks_RH_ContB_PFClv_2',Wang_b'17Networks_RH_ContB_PFClv_2',b'17Networks_RH_ContB_PFClv_2',-1.4365479825613,3.524058301825087e-178,-37.531677532201115,True,-1.3302750397505505,796,Frontal,R
b'17Networks_RH_SalVentAttnB_Ins_2',Wang_b'17Networks_RH_SalVentAttnB_Ins_2',b'17Networks_RH_SalVentAttnB_Ins_2',0.0,,,False,,364,Insular,R
b'17Networks_RH_DefaultC_Rsp_1',Wang_b'17Networks_RH_DefaultC_Rsp_1',b'17Networks_RH_DefaultC_Rsp_1',-0.0381520343206278,0.01428777450195527,-2.4588558044395863,True,-0.11176617292907211,484,Frontal,R
b'17Networks_LH_DorsAttnA_SPL_2',Wang_b'17Networks_LH_DorsAttnA_SPL_2',b'17Networks_LH_DorsAttnA_SPL_2',-0.3632298293640614,2.779310937627284e-17,-8.711852321125606,True,-0.3515817465910256,614,Temporal,L
b'17Networks_RH_VisPeri_ExStrSup_2',Wang_b'17Networks_RH_VisPeri_ExStrSup_2',b'17Networks_RH_VisPeri_ExStrSup_2',-1.1321618101975743,6.807379737051835e-60,-18.062261345078074,True,-0.6911332227740977,683,Occipital,R
b'17Networks_LH_DefaultB_IPL_1',Wang_b'17Networks_LH_DefaultB_IPL_1',b'17Networks_LH_DefaultB_IPL_1',0.30202592545066603,5.1489824361202195e-11,6.756851157962398,True,0.3417086507121283,391,Frontal,L
b'17Networks_LH_DefaultB_PFCd_4',Wang_b'17Networks_LH_DefaultB_PFCd_4',b'17Networks_LH_DefaultB_PFCd_4',0.0,,,False,,686,Frontal,L
b'17Networks_LH_SalVentAttnB_Ins_1',Wang_b'17Networks_LH_SalVentAttnB_Ins_1',b'17Networks_LH_SalVentAttnB_Ins_1',0.0,,,False,,469,Insular,L
b'17Networks_RH_DorsAttnA_SPL_2',Wang_b'17Networks_RH_DorsAttnA_SPL_2',b'17Networks_RH_DorsAttnA_SPL_2',-1.9330414012177337,2.69340249514979e-207,-56.09077251954793,True,-2.618093055228952,459,Temporal,R
b'17Networks_RH_DefaultA_IPL_1',Wang_b'17Networks_RH_DefaultA_IPL_1',b'17Networks_RH_DefaultA_IPL_1',0.9477437104021301,5.066505837523004e-49,15.70560406497909,True,0.5371203259029714,855,Frontal,R
b'17Networks_LH_ContA_PFCl_1',Wang_b'17Networks_LH_ContA_PFCl_1',b'17Networks_LH_ContA_PFCl_1',0.009501254786238176,0.059650122551133444,1.8859601064815268,False,0.0655021019491628,829,Frontal,L
b'17Networks_RH_VisCent_ExStr_3',Wang_b'17Networks_RH_VisCent_ExStr_3',b'17Networks_RH_VisCent_ExStr_3',-0.005925251851442586,0.1575137808252549,-1.4145162217045464,False,-0.044139022443900146,1027,Occipital,R
b'17Networks_RH_LimbicB_OFC_3',Wang_b'17Networks_RH_LimbicB_OFC_3',b'17Networks_RH_LimbicB_OFC_3',-0.013460032255594546,0.0367775555165192,-2.091058304411417,True,-0.06645819550625358,990,Frontal,R
b'17Networks_LH_ContC_Cingp_1',Wang_b'17Networks_LH_ContC_Cingp_1',b'17Networks_LH_ContC_Cingp_1',0.0,,,False,,208,Frontal,L
b'17Networks_LH_ContA_Cingm_1',Wang_b'17Networks_LH_ContA_Cingm_1',b'17Networks_LH_ContA_Cingm_1',-0.14014449854895875,0.015857969894386745,-2.437647180794305,True,-0.19034826519090078,164,Frontal,L
b'17Networks_RH_ContA_IPS_1',Wang_b'17Networks_RH_ContA_IPS_1',b'17Networks_RH_ContA_IPS_1',-0.24803085986480214,2.915763849596216e-15,-8.062972694478383,True,-0.2932474817365812,756,Frontal,R
b'17Networks_RH_VisCent_ExStr_1',Wang_b'17Networks_RH_VisCent_ExStr_1',b'17Networks_RH_VisCent_ExStr_1',-0.4111085339365288,1.5735288894528008e-48,-15.273745013942252,True,-0.4255862660350722,1288,Occipital,R
b'17Networks_LH_DefaultC_PHC_1',Wang_b'17Networks_LH_DefaultC_PHC_1',b'17Networks_LH_DefaultC_PHC_1',-0.6071857045437817,6.611582701595781e-55,-17.09493758657526,True,-0.6498520186028743,692,Frontal,L
b'17Networks_LH_DefaultB_Temp_2',Wang_b'17Networks_LH_DefaultB_Temp_2',b'17Networks_LH_DefaultB_Temp_2',0.01097556719543407,0.08626021559196274,1.7176456814573313,False,0.061620195579492054,777,Frontal,L
b'17Networks_RH_SalVentAttnB_PFCl_1',Wang_b'17Networks_RH_SalVentAttnB_PFCl_1',b'17Networks_RH_SalVentAttnB_PFCl_1',-0.6024048481789243,4.195296839952084e-231,-42.89603111509845,True,-1.3385416519733957,1027,Frontal,R
b'17Networks_RH_VisPeri_ExStrInf_1',Wang_b'17Networks_RH_VisPeri_ExStrInf_1',b'17Networks_RH_VisPeri_ExStrInf_1',-1.9405979504093271,2.2758567683704024e-120,-29.111695514043433,True,-1.134030650819921,659,Occipital,R
b'17Networks_LH_SalVentAttnA_FrOper_1',Wang_b'17Networks_LH_SalVentAttnA_FrOper_1',b'17Networks_LH_SalVentAttnA_FrOper_1',-0.1786605851889147,1.7448013488868323e-05,-4.368109361456917,True,-0.2556242653715375,292,Frontal,L
b'17Networks_LH_DorsAttnB_PostC_1',Wang_b'17Networks_LH_DorsAttnB_PostC_1',b'17Networks_LH_DorsAttnB_PostC_1',0.0,,,False,,526,Temporal,L
b'17Networks_RH_ContA_IPS_2',Wang_b'17Networks_RH_ContA_IPS_2',b'17Networks_RH_ContA_IPS_2',0.0,,,False,,453,Frontal,R
b'17Networks_LH_DefaultB_Temp_4',Wang_b'17Networks_LH_DefaultB_Temp_4',b'17Networks_LH_DefaultB_Temp_4',0.0,,,False,,787,Frontal,L
b'17Networks_LH_DefaultA_PFCm_1',Wang_b'17Networks_LH_DefaultA_PFCm_1',b'17Networks_LH_DefaultA_PFCm_1',0.0,,,False,,557,Frontal,L
b'17Networks_RH_SomMotA_11',Wang_b'17Networks_RH_SomMotA_11',b'17Networks_RH_SomMotA_11',-0.23858334970153117,1.3692125693738248e-05,-4.437958395162881,True,-0.2818106399036238,248,Somatomotor,R
b'17Networks_RH_VisPeri_ExStrSup_3',Wang_b'17Networks_RH_VisPeri_ExStrSup_3',b'17Networks_RH_VisPeri_ExStrSup_3',1.7755917526001637,4.590673792085828e-81,23.555396342589546,True,1.097084182051968,461,Occipital,R
b'17Networks_RH_LimbicA_TempPole_4',Wang_b'17Networks_RH_LimbicA_TempPole_4',b'17Networks_RH_LimbicA_TempPole_4',-0.36571376465508265,9.541811416222743e-34,-12.691406355895825,True,-0.44927091492839,798,Temporal,R
b'17Networks_RH_VisCent_ExStr_2',Wang_b'17Networks_RH_VisCent_ExStr_2',b'17Networks_RH_VisCent_ExStr_2',-1.0876511421752766,1.2616867542033504e-93,-24.14977307707244,True,-0.923389652214018,684,Occipital,R
b'17Networks_LH_SomMotA_2',Wang_b'17Networks_LH_SomMotA_2',b'17Networks_LH_SomMotA_2',0.0,,,False,,432,Somatomotor,L
b'17Networks_RH_LimbicA_TempPole_1',Wang_b'17Networks_RH_LimbicA_TempPole_1',b'17Networks_RH_LimbicA_TempPole_1',-1.822039093383305,0.0,-79.70073668694988,True,-2.356401678622766,1144,Temporal,R
b'17Networks_LH_SalVentAttnA_FrMed_2',Wang_b'17Networks_LH_SalVentAttnA_FrMed_2',b'17Networks_LH_SalVentAttnA_FrMed_2',-0.06102160578896047,0.22482664570392616,-1.2152301060706383,False,-0.053087573672527005,524,Frontal,L
b'17Networks_LH_DorsAttnA_ParOcc_1',Wang_b'17Networks_LH_DorsAttnA_ParOcc_1',b'17Networks_LH_DorsAttnA_ParOcc_1',0.07854308814986927,0.0005953964558924901,3.4492301203160887,True,0.12935623586257486,711,Parietal,L
b'17Networks_LH_DefaultB_PFCv_1',Wang_b'17Networks_LH_DefaultB_PFCv_1',b'17Networks_LH_DefaultB_PFCv_1',-0.7021797019913795,1.0721577227151708e-35,-13.355849035926024,True,-0.5521963967948733,585,Frontal,L
b'17Networks_RH_SomMotA_9',Wang_b'17Networks_RH_SomMotA_9',b'17Networks_RH_SomMotA_9',-0.17526771696733162,9.94071383909399e-05,-3.934451899673126,True,-0.20317422245184202,375,Somatomotor,R
b'17Networks_RH_DefaultA_PFCm_3',Wang_b'17Networks_RH_DefaultA_PFCm_3',b'17Networks_RH_DefaultA_PFCm_3',-0.10710876376545098,3.88320921504779e-12,-7.0008638577883,True,-0.18410580643625904,1446,Frontal,R
b'17Networks_RH_SalVentAttnA_Ins_1',Wang_b'17Networks_RH_SalVentAttnA_Ins_1',b'17Networks_RH_SalVentAttnA_Ins_1',-0.4324497835198039,1.4998338771120707e-12,-7.328681886895089,True,-0.382554080518382,367,Insular,R
b'17Networks_RH_DorsAttnB_PostC_3',Wang_b'17Networks_RH_DorsAttnB_PostC_3',b'17Networks_RH_DorsAttnB_PostC_3',0.4763032814013536,5.4686799173914e-28,11.438195942764697,True,0.4224794067732145,733,Temporal,R
b'17Networks_RH_VisPeri_ExStrSup_1',Wang_b'17Networks_RH_VisPeri_ExStrSup_1',b'17Networks_RH_VisPeri_ExStrSup_1',-0.5998890558151919,2.4776452028387112e-18,-9.191711516565968,True,-0.4684529958922724,385,Occipital,R
b'17Networks_RH_SalVentAttnA_Ins_2',Wang_b'17Networks_RH_SalVentAttnA_Ins_2',b'17Networks_RH_SalVentAttnA_Ins_2',-2.8808812444390086,5.025698919906488e-219,-45.688637533142284,True,-1.6660931813305462,752,Insular,R
b'17Networks_RH_SomMotB_Aud_2',Wang_b'17Networks_RH_SomMotB_Aud_2',b'17Networks_RH_SomMotB_Aud_2',-0.045437772149578004,0.004614095711013633,-2.8449388999610634,True,-0.12357624904999866,530,Somatomotor,R
b'17Networks_RH_LimbicB_OFC_1',Wang_b'17Networks_RH_LimbicB_OFC_1',b'17Networks_RH_LimbicB_OFC_1',0.0,,,False,,854,Frontal,R
b'17Networks_RH_DefaultA_PFCd_1',Wang_b'17Networks_RH_DefaultA_PFCd_1',b'17Networks_RH_DefaultA_PFCd_1',-0.21249324151703178,4.0134229326395776e-11,-6.743449387425779,True,-0.29100132030382936,537,Frontal,R
b'17Networks_RH_LimbicB_OFC_4',Wang_b'17Networks_RH_LimbicB_OFC_4',b'17Networks_RH_LimbicB_OFC_4',-0.8998319222878073,9.76087683254526e-61,-17.95511128560836,True,-0.6376046968189024,793,Frontal,R
b'17Networks_RH_SalVentAttnB_PFClv_1',Wang_b'17Networks_RH_SalVentAttnB_PFClv_1',b'17Networks_RH_SalVentAttnB_PFClv_1',0.1040391359270979,1.099496873502833e-12,7.208446126693139,True,0.22548424854502627,1022,Frontal,R
b'17Networks_LH_DefaultB_PFCv_3',Wang_b'17Networks_LH_DefaultB_PFCv_3',b'17Networks_LH_DefaultB_PFCv_3',0.0,,,False,,438,Frontal,L
b'17Networks_RH_SomMotA_5',Wang_b'17Networks_RH_SomMotA_5',b'17Networks_RH_SomMotA_5',0.6102955356483981,3.3155335634390953e-15,8.352920108806849,True,0.5027867065279943,276,Somatomotor,R
b'17Networks_LH_DorsAttnA_TempOcc_2',Wang_b'17Networks_LH_DorsAttnA_TempOcc_2',b'17Networks_LH_DorsAttnA_TempOcc_2',-1.1235355412633432,5.503851330147193e-134,-30.815523809801782,True,-1.1428845162268888,727,Temporal,L
b'17Networks_LH_ContB_Temp_1',Wang_b'17Networks_LH_ContB_Temp_1',b'17Networks_LH_ContB_Temp_1',-0.020290413777419015,0.10616703793939537,-1.6177647272511209,False,-0.06132121373500165,696,Frontal,L
b'17Networks_LH_DefaultA_PFCd_1',Wang_b'17Networks_LH_DefaultA_PFCd_1',b'17Networks_LH_DefaultA_PFCd_1',0.0,,,False,,861,Frontal,L
b'17Networks_RH_LimbicB_OFC_2',Wang_b'17Networks_RH_LimbicB_OFC_2',b'17Networks_RH_LimbicB_OFC_2',-0.10844332943220562,9.455665160116564e-08,-5.3906502017641404,True,-0.19829827316212192,739,Frontal,R
b'17Networks_RH_ContA_PFCl_1',Wang_b'17Networks_RH_ContA_PFCl_1',b'17Networks_RH_ContA_PFCl_1',-0.011098939639843933,0.08337276797159432,-1.7335509160638418,False,-0.060427786236432225,823,Frontal,R
b'17Networks_RH_SomMotB_Cent_1',Wang_b'17Networks_RH_SomMotB_Cent_1',b'17Networks_RH_SomMotB_Cent_1',-3.2538705113865176,2.5554278385620457e-246,-50.4521351054801,True,-1.8169892632461466,771,Somatomotor,R
b'17Networks_RH_ContA_PFCl_2',Wang_b'17Networks_RH_ContA_PFCl_2',b'17Networks_RH_ContA_PFCl_2',0.19172057065263268,4.972753907388674e-17,8.527291805765964,True,0.2588786622892051,1085,Frontal,R
b'17Networks_RH_LimbicA_TempPole_3',Wang_b'17Networks_RH_LimbicA_TempPole_3',b'17Networks_RH_LimbicA_TempPole_3',-0.8325209723738248,6.335653270315391e-78,-22.14849155311412,True,-0.9496087410999701,544,Temporal,R
b'17Networks_LH_TempPar_2',Wang_b'17Networks_LH_TempPar_2',b'17Networks_LH_TempPar_2',0.0,,,False,,547,Other,L
b'17Networks_LH_VisCent_ExStr_3',Wang_b'17Networks_LH_VisCent_ExStr_3',b'17Networks_LH_VisCent_ExStr_3',-0.7889240927203233,3.864803492718168e-35,-12.995066837498706,True,-0.4614683540115966,793,Occipital,L
b'17Networks_LH_DorsAttnB_PostC_4',Wang_b'17Networks_LH_DorsAttnB_PostC_4',b'17Networks_LH_DorsAttnB_PostC_4',0.0467684028686909,0.0014648768984300052,3.195696973414264,True,0.12742078274683966,629,Temporal,L
b'17Networks_LH_ContC_pCun_2',Wang_b'17Networks_LH_ContC_pCun_2',b'17Networks_LH_ContC_pCun_2',0.8383649497581839,5.223927636777652e-47,15.612614438278069,True,0.6068014920488929,662,Frontal,L
b'17Networks_LH_DefaultA_pCunPCC_3',Wang_b'17Networks_LH_DefaultA_pCunPCC_3',b'17Networks_LH_DefaultA_pCunPCC_3',-0.01764627093726042,0.2582537002934227,-1.1316262039662044,False,-0.046667478105851604,588,Frontal,L
b'17Networks_RH_SomMotA_10',Wang_b'17Networks_RH_SomMotA_10',b'17Networks_RH_SomMotA_10',-0.7539931780103888,1.1323709308777601e-64,-18.924947264050846,True,-0.7194185482814744,692,Somatomotor,R
b'17Networks_LH_LimbicA_TempPole_4',Wang_b'17Networks_LH_LimbicA_TempPole_4',b'17Networks_LH_LimbicA_TempPole_4',-0.3115833121612796,2.3226715085115477e-10,-6.519446442846857,True,-0.3389298816152875,370,Temporal,L
b'17Networks_RH_DorsAttnA_SPL_4',Wang_b'17Networks_RH_DorsAttnA_SPL_4',b'17Networks_RH_DorsAttnA_SPL_4',-0.75662451697056,1.9260165204714293e-78,-20.86344154641272,True,-0.7135146458871152,855,Temporal,R
b'17Networks_RH_ContC_Cingp_1',Wang_b'17Networks_RH_ContC_Cingp_1',b'17Networks_RH_ContC_Cingp_1',-0.05256815444583934,0.01422494795891644,-2.4642680461905333,True,-0.13364369886199945,340,Frontal,R
b'17Networks_LH_SalVentAttnA_FrMed_1',Wang_b'17Networks_LH_SalVentAttnA_FrMed_1',b'17Networks_LH_SalVentAttnA_FrMed_1',-0.2643193313943851,2.3161894761982778e-17,-8.678373041023022,True,-0.31033798636159704,782,Frontal,L
