fold,roi_pair,mean,std,cv
0,lpIPS -> lLO,17.205333113019165,37.96575876182376,2.206627358647029
0,lpIPS -> rLO,9.949216570478347,19.938160334369414,2.0039929971502075
0,rpIPS -> lLO,0.8758232800330624,13.969583634423325,15.950231003103694
0,rpIPS -> rLO,-4.405758288529007,15.002137540878286,-3.4051204261337706
1,lpIPS -> lLO,20.398590454619985,40.37676378338303,1.9793898932971752
1,lpIPS -> rLO,9.971335172333497,18.100376002029797,1.8152409571238937
1,rpIPS -> lLO,2.1804159614383622,24.07350381872986,11.040784989873778
1,rpIPS -> rLO,-0.272265873083557,40.68954410766472,-149.4478307061913
2,lpIPS -> lLO,15.281527916751088,31.992031983879347,2.093510031075543
2,lpIPS -> rLO,11.41463488200121,29.59136924564425,2.5924061129896
2,rpIPS -> lLO,4.301138923491841,38.36486678696492,8.919699518986649
2,rpIPS -> rLO,6.767924158781597,46.509600543007,6.8720629031664515
