analysis,roi,mean_diff,t_stat,p_value,effect_size
ppi,pIPS,0.009140731281179471,1.061739369688196,0.30239253823227613,0.3099947744631434
ppi,LO,0.01711429338800264,3.297336525291423,0.004004781823850802,0.4275382397217472
