analysis,roi,mean_diff,t_stat,p_value,effect_size
fc,pIPS,0.015624641979995552,0.6674272727221577,0.512965884042688,0.14520300839382613
fc,LO,-0.014665424039489339,-0.7936073575825133,0.4377613962721958,-0.16872433307066304
