subject,roi_pair,mean,std,cv
sub-025,lpIPS -> lLO,47.97116253163099,93.44041102171272,1.947845457364108
sub-025,lpIPS -> rLO,4.552044017574958,19.802740062580018,4.350296259465801
sub-025,rpIPS -> lLO,-14.560442376436233,6.66138354683861,-0.4574987060571046
sub-025,rpIPS -> rLO,-26.742587543277164,6.570913141363613,-0.24570969921029495
sub-038,lpIPS -> lLO,96.19843459954497,53.76557033548239,0.55890275719452
sub-038,lpIPS -> rLO,27.250307586038133,16.241940524072973,0.5960277869448576
sub-038,rpIPS -> lLO,19.34288781877497,22.512068632591706,1.163842175145151
sub-038,rpIPS -> rLO,3.8708815979039226,9.76957347838609,2.5238626476398296
sub-057,lpIPS -> lLO,4.030302455488768,12.49505244419707,3.1002766125357093
sub-057,lpIPS -> rLO,55.348901716152945,59.47804526434075,1.0746020864038708
sub-057,rpIPS -> lLO,8.26911785891417,13.117063919707741,1.5862712496675144
sub-057,rpIPS -> rLO,53.99017241604374,68.63962564343755,1.2713355518575928
sub-059,lpIPS -> lLO,-5.256424234178163,7.807587113897749,-1.4853418913815006
sub-059,lpIPS -> rLO,12.74848931412511,5.000024050561386,0.39220521956444243
sub-059,rpIPS -> lLO,-7.062235910064278,9.33627726324196,-1.3220001968409159
sub-059,rpIPS -> rLO,-40.40660363924626,22.886039832206986,-0.5663935537996605
sub-064,lpIPS -> lLO,0.6506251386184564,8.448376149564455,12.985013409570707
sub-064,lpIPS -> rLO,7.26368189787857,9.910397614664276,1.3643766004619096
sub-064,rpIPS -> lLO,0.3790670831086597,1.7985026383965548,4.744549760552577
sub-064,rpIPS -> rLO,10.948105297345458,9.012109114853008,0.8231660977025985
sub-067,lpIPS -> lLO,60.52383050479906,30.835843567661005,0.5094826832749122
sub-067,lpIPS -> rLO,44.780256452507615,38.29419696555027,0.855158054000065
sub-067,rpIPS -> lLO,40.87732471899982,51.899866786135014,1.269649301731625
sub-067,rpIPS -> rLO,41.46057088550678,72.11383243945934,1.73933525031774
sub-068,lpIPS -> lLO,-2.9287078165024045,3.864666489489613,-1.3195807610828767
sub-068,lpIPS -> rLO,-7.093419971808518,6.202614819378337,-0.8744181007228501
sub-068,rpIPS -> lLO,4.057984587996208,5.108096528981943,1.2587767198751905
sub-068,rpIPS -> rLO,-11.939748954129152,9.43007811753573,-0.789805393209252
sub-071,lpIPS -> lLO,9.852040782051796,22.88456143427856,2.3228244726685547
sub-071,lpIPS -> rLO,6.307162827514891,6.373107850302412,1.0104555763963847
sub-071,rpIPS -> lLO,15.755818178202013,16.42850749741399,1.0426946612104622
sub-071,rpIPS -> rLO,7.545313640607296,12.279717101470219,1.6274627784037172
sub-083,lpIPS -> lLO,42.28085369077453,16.20306519910653,0.3832246462573663
sub-083,lpIPS -> rLO,8.225918976464861,1.95279929046219,0.23739588197371442
sub-083,rpIPS -> lLO,60.73915380273672,28.302736981668804,0.4659718683863779
sub-083,rpIPS -> rLO,31.168477943512453,34.08827415719796,1.0936778568070322
sub-084,lpIPS -> lLO,44.33060250228206,16.23942607008623,0.36632540848616374
sub-084,lpIPS -> rLO,17.294044375419215,22.191208278421357,1.2831705410657264
sub-084,rpIPS -> lLO,-2.672655460315338,3.406698861611501,-1.2746494683641547
sub-084,rpIPS -> rLO,-1.0505146927970241,4.09783906814098,-3.900791770203967
sub-085,lpIPS -> lLO,-5.308952560130527,2.3999023985942523,-0.4520481905634597
sub-085,lpIPS -> rLO,1.4692413348570714,0.8383424783581926,0.5705954892970303
sub-085,rpIPS -> lLO,-10.681966247433428,6.7196373528328985,-0.6290637132885003
sub-085,rpIPS -> rLO,-5.046130016269015,11.136497168118014,-2.206938214475906
sub-087,lpIPS -> lLO,-2.2414843616251545,19.187820007615123,-8.560318481857836
sub-087,lpIPS -> rLO,0.49135168191378104,15.006504746488845,30.541270741232722
sub-087,rpIPS -> lLO,-44.877746507073546,40.2011406664034,-0.8957923201439486
sub-087,rpIPS -> rLO,-63.955494119097324,75.86783377280643,-1.186259832994583
sub-088,lpIPS -> lLO,0.06931184273169795,5.036028659899401,72.65754972629382
sub-088,lpIPS -> rLO,10.531365060694492,15.956452988924125,1.5151362522297633
sub-088,rpIPS -> lLO,-9.306648050543991,9.4226365421583,-1.012462971736374
sub-088,rpIPS -> rLO,-0.9146479712063312,5.43223416039465,-5.939152910632999
sub-093,lpIPS -> lLO,7.081779633281307,1.4116207343948584,0.19933135560457863
sub-093,lpIPS -> rLO,0.43521968217446894,4.122876696896148,9.473093395724202
sub-093,rpIPS -> lLO,-9.655785144663403,15.656240760554796,-1.621436322991067
sub-093,rpIPS -> rLO,1.3022340129693637,5.518987432599724,4.238091907932343
sub-094,lpIPS -> lLO,28.07423900671027,5.004555224942339,0.178261473935096
